"Block","Plot","N","P","K+","FullTreatment","Group","ANPP_g"
4,7,1,1,0,"N+P","Legume",0
4,7,1,1,0,"N+P","Total",31.291
4,8,1,1,1,"N+P+K","Forb",18.92
4,8,1,1,1,"N+P+K","Grass",37.53
4,8,1,1,1,"N+P+K","Legume",0
4,8,1,1,1,"N+P+K","Total",56.45
4,9,0,0,0,"C","Forb",3.768
4,9,0,0,0,"C","Grass",5.939
4,9,0,0,0,"C","Legume",0
4,9,0,0,0,"C","Total",9.707
4,10,1,1,1,"N+P+K","Forb",16.912
4,10,1,1,1,"N+P+K","Grass",12.764
4,10,1,1,1,"N+P+K","Legume",0
4,10,1,1,1,"N+P+K","Total",29.676
