water_year,fal_maxT,spr_maxT,sum_maxT,wnt_maxT
1982,4.2541278109986,-1.41228673512722,12.1847675503684,-8.6660721940144
1983,1.17475038688677,-2.74875566375961,12.2987300171511,-5.62237644481688
1984,2.57827615161801,-1.59877077168057,12.2780095686451,-9.24181690414176
1985,1.08048373104661,0.980925067307522,13.2725910969297,-8.84610986881036
1986,0.572491196796868,0.0899457815525966,12.4955742779574,-8.30599684442248
1987,2.91030426163279,3.23945395445373,14.629780474068,-5.82783120311344
1988,5.62623135711646,1.44713515869091,15.8833676086767,-7.80686892079713
1989,4.41123890406553,2.72144274180551,13.8424034308427,-6.45266783916999
1990,4.93494254762197,1.88226457731541,14.7851838378625,-7.08809492668513
1991,5.18632029652905,0.960204618801594,13.6766398427953,-6.97159996064069
1992,3.52094271001959,3.08405059065926,13.3451126667004,-4.61227669510288
1993,4.24365373812747,1.12596820684902,12.899623023823,-6.64329596542453
1994,1.5518170102474,3.09441081491223,15.4585984143051,-8.02005465504068
1995,3.16482423240122,0.0381446602877749,13.3658331152064,-5.55247946519021
1996,3.40572790843718,1.41605448593202,15.0027485471747,-6.54998017626169
1997,3.38477976269492,1.0741670855842,13.5937580487716,-7.37403711606695
1998,3.52094271001959,1.04308641282531,13.0446661633645,-7.21518034418816
1999,4.35886853970989,1.31245224340238,13.5212364790008,-6.20908745562252
2000,6.26514980225531,3.14621193617705,15.3446359475225,-5.67015805508688
2001,3.73042416744216,1.67506009225613,14.8059042863684,-6.8127431887619
2002,5.11300178643115,2.48315758398734,16.8054275671905,-6.86569544605483
2003,3.18577237814348,2.12054973513359,15.0131087714277,-6.36794422750131
2004,3.88753526050909,2.31739399593991,12.4437731566926,-6.74898756081313
2005,3.39525383556605,1.40569426167906,14.039247691649,-5.20299456705688
2006,4.99778698484874,2.85612565709405,14.8887860803921,-7.43757982481846
2007,2.13836509103061,2.76288363881737,15.6450824508585,-6.57975325667302
2008,5.44817211830727,-0.0240166852300091,14.5779793528032,-8.52957994890501
2009,5.03968327633325,1.67506009225613,13.1482684058941,-6.59034370813161
2010,2.6096983702314,0.600704837223735,14.1117692614198,-8.59087998865844
2011,4.07397375761519,0.380032060635596,15.1312153279115,-7.64515267340674
2012,3.84144933987613,4.897089834928,17.3576275198735,-6.91657272675119
2013,5.5403439595732,0.723891304347826,16.0134456521739,-6.4530184895342
2014,4.59402197802198,1.42858695652174,14.210652173913,-6.69892222222222
2015,5.41412087912088,2.92136956521739,15.3093913043478,-4.18974444444444
2016,6.65310989010989,1.58491304347826,16.0006195652174,-5.37152747252747
2017,7.20836263736264,3.55960869565217,15.5983695652174,-5.19878888888889
2018,5.96463736263736,3.96302173913043,16.7623804347826,-4.72914444444444
