year,sum_DEF,fal_DEF,spr_PET,sum_PET,fal_PET
1982,4.59639330492153,28.299485233144,9.43392090822283,198.591922249325,85.5668737543242
1983,0,5.67937585295127,7.8754135802009,198.171017787232,52.8013779990481
1984,0.742744449653369,15.9432076936438,27.6408144230613,203.619985862254,62.7315267780454
1985,44.8682723185824,1.71755981670606,36.673044679038,211.150708947312,53.2447651397994
1986,10.5476477688643,21.2940421862949,14.1447563181876,207.434812006303,48.5918391317991
1987,13.5368795138338,20.393728547367,53.5569056558726,211.266827237082,56.4462752376384
1988,58.4679246826798,36.0834104750829,35.0180412153172,222.620211271504,77.5488594044397
1989,30.6264011843059,51.299578092211,48.7328457597444,202.463731886958,69.9573905251935
1990,4.31438868948912,43.5660980776446,26.9058078816044,210.906161612332,78.4670707278876
1991,12.7674726214635,12.1319787437303,35.5578574193803,208.713742247257,78.8965366336194
1992,12.1425549082803,30.0575033096204,47.3065822751581,201.23381454263,78.7648792028228
1993,57.3718200773055,31.6491580373095,37.0086583675913,206.332389933348,85.7633358437759
1994,40.0447847610081,35.5379525657015,50.0524953242674,217.07912471662,58.3065873202865
1995,28.0136261669925,20.4221501619308,12.1216483403811,207.564111839786,59.2580959456023
1996,40.9499325246681,29.5469614607861,39.5309971186186,218.78595318016,61.7787185244982
1997,13.7363057379347,19.6533323265306,27.6221941435408,208.613557956364,67.796122183256
1998,2.84473766806371,23.776811179875,32.6544526830898,196.588674388709,80.865340148017
1999,8.15015931255485,14.6600101673842,26.733176881332,213.077794440888,78.4223006244824
2000,21.1414909010522,17.9124354980196,46.2248715108818,214.080775086136,90.9879533602066
2001,1.64576016847295,12.1004483702012,40.6096326371437,214.467397401086,72.1278726207663
2002,32.724148734814,6.42135765152945,36.5403959529705,227.767076892278,74.0538671862257
2003,21.1280852328305,15.1962920424346,42.9371320140948,214.137978691409,54.0019255230712
2004,3.23239618854711,12.8508224777104,44.9105487279005,200.966570066848,73.1609372709068
2005,17.8904067260077,6.73913694482751,35.4525355267255,203.726925186314,64.4087258766243
2006,24.8119888330122,31.7337328006658,42.236319159817,222.096049372449,81.9732273916459
2007,19.2017176408315,21.1695971785086,37.2239595410725,219.660250701806,52.2529810269501
2008,7.4135881105102,3.02136285478302,24.2143753046188,210.329340405761,74.0575879574219
2009,18.6461338997646,3.57285750759921,35.3479891351425,205.51554059184,77.7144801803714
2010,7.57549825823303,26.5721737212508,18.9905211863639,209.317791719517,54.8004551014906
2011,5.51960534081757,38.439328530851,14.3991824342776,219.817929844006,80.9020606693223
2012,18.9322105732396,19.1110827681469,49.3821054942441,228.762768756816,68.6227967300987
2013,5.63994801644026,20.129372169728,27.3935568737861,221.572858821021,73.6178330797352
2014,11.6974607610249,2.38096522049068,39.0666021736705,205.157437573694,69.897623250997
2015,26.6440372815799,10.7161388867096,27.6794858937956,213.84152815041,92.357875360872
2016,33.6964252753762,65.2358194476409,26.3855942598227,219.142603999419,101.824424853258
2017,26.0741689103871,32.5984913144808,44.7659604204775,218.965359264453,99.006860550433
2018,44.3241099438877,12.6956678248777,48.5175786942654,217.220451184899,74.1380984674212
