eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1996,-0.693956043956044,-2.6654347826087,10.163152173913,-10.3654945054945,-0.865081967213115,508.778430652058,675.232653835324,39,14,109,140,212.16,286.65,124,416.91,1039.72,70.4968939854542,320.53347274935,40.9499325246681,29.5469614607861,39.5309971186186,218.78595318016,61.7787185244982,153.810126582278,87.8181818181818,97.75,157.961538461538,191.173913043478,147.4,153,NA,167,154,153,199,199,142,310,261,310,310,310,275,275,NA
1997,-0.91010989010989,-3.46391304347826,9.20630434782609,-11.1241111111111,-1.52243835616438,438.964044132381,596.172029912912,66,33,103,139,235.17,306.93,207,449.28,1198.38,33.3896380644654,305.465807847453,13.7363057379347,19.6533323265306,27.6221941435408,208.613557956364,67.796122183256,155.5,138.75,128,160.045454545455,178.944444444444,147,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA
1998,-0.695604395604396,-3.35608695652174,8.67967391304348,-10.5621111111111,-1.43594520547945,422.417988705481,614.334403602053,62,31,110,122,195,200.46,310,281.58,987.04,26.6215488479387,310.108467219816,2.84473766806371,23.776811179875,32.6544526830898,196.588674388709,80.865340148017,160.652173913043,139,150,160.68,175.235294117647,147,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA
1999,0.184285714285714,-3.33347826086957,9.18630434782609,-10.0648888888889,-0.960575342465753,437.719511633096,617.169674539161,78,49,111,134,145.47,361.53,367,342.03,1216.03,22.8101694799391,318.695975798017,8.15015931255485,14.6600101673842,26.733176881332,213.077794440888,78.4223006244824,157.285714285714,135.75,137,164,174.526315789474,152,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA
2000,1.3856043956044,-1.49434782608696,10.4247826086957,-9.33956043956044,0.267185792349727,541.058303590336,776.427130777309,46,4,123,128,121.68,371.28,160,439.14,1092.1,39.0539263990718,351.783519377544,21.1414909010522,17.9124354980196,46.2248715108818,214.080775086136,90.9879533602066,128.25974025974,61,94,139.038461538462,158.473684210526,133,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311
2001,-1.13252747252747,-2.44445652173913,10.0969565217391,-10.5306666666667,-0.950109589041096,511.634962905304,718.203154456843,57,37,85,86,115.44,302.64,246,302.64,966.72,13.7462085386742,327.204902658996,1.64576016847295,12.1004483702012,40.6096326371437,214.467397401086,72.1278726207663,134.695652173913,115.3125,117,142.666666666667,154.7,134.6,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359
2002,0.501318681318681,-2.25467391304348,11.5413043478261,-10.8757777777778,-0.215972602739726,627.041757815893,836.578182767007,36,28,118,130,166.53,168.09,161,359.19,854.81,39.1455063863434,338.361340031474,32.724148734814,6.42135765152945,36.5403959529705,227.767076892278,74.0538671862257,107.585365853659,84,92,113,120.578947368421,99.2,139,NA,122,139,141,159,173,104,296,273,296,291,291,291,296,309
2003,-1.16703296703297,-2.14184782608696,10.1732608695652,-9.79333333333333,-0.681397260273973,533.86262311247,723.573978810455,41,25,96,155,166.14,435.63,204,252.72,1058.49,36.3243772752651,312.04026732614,21.1280852328305,15.1962920424346,42.9371320140948,214.137978691409,54.0019255230712,117.24,83.375,85.1666666666667,145.384615384615,156.2,141,158,NA,163,166,159,193,199,149,NA,268,304,303,303,301,301,NA
2004,-0.512417582417582,-1.94163043478261,7.6825,-10.6002197802198,-1.31991803278689,359.620557398475,541.738850024589,21,35,91,103,154.05,296.79,271,235.95,957.79,16.0832186662575,319.038056065655,3.23239618854711,12.8508224777104,44.9105487279005,200.966570066848,73.1609372709068,145.926829268293,124.5625,125.75,151.807692307692,162.764705882353,138.4,152,NA,152,164,160,189,197,145,311,260,305,305,305,301,295,316
2005,-0.991208791208791,-2.89021739130435,9.27880434782609,-8.79433333333333,-0.805315068493151,463.730394512238,625.460074681625,46,20,94,132,182.52,274.56,215,289.38,961.46,24.6295436708352,303.845018589567,17.8904067260077,6.73913694482751,35.4525355267255,203.726925186314,64.4087258766243,146.475609756098,96.3125,94.125,165.44,178.055555555556,153.8,149,NA,150,163,161,196,204,140,312,258,307,311,311,309,308,319
2006,0.623076923076923,-1.88152173913043,10.2882608695652,-11.1281111111111,-0.469616438356164,516.384009082175,748.818418154971,38,20,109,130,204.75,259.35,219,391.17,1074.27,56.545721633678,346.305595923912,24.8119888330122,31.7337328006658,42.236319159817,222.096049372449,81.9732273916459,127.745762711864,79.4545454545455,118.75,133.857142857143,156.454545454545,128.6,158,NA,158,158,152,186,189,130,295,257,295,295,290,288,288,325
2007,-1.69032967032967,-1.68130434782609,10.6978260869565,-10.327,-0.695150684931507,568.477724384364,716.355441089989,58,41,110,110,207.48,234,228,299.13,968.61,40.3713148193401,309.137191269828,19.2017176408315,21.1695971785086,37.2239595410725,219.660250701806,52.2529810269501,156.602272727273,145.1875,146.25,157.961538461538,164.95652173913,161.4,160,NA,154,157,155,182,188,143,313,280,296,308,295,293,293,320
2008,0.690659340659341,-4.62413043478261,9.52684782608696,-12.3521978021978,-1.66707650273224,492.694691048105,679.512046629513,66,32,65,116,89.7,346.71,239,409.11,1084.52,10.4349509652932,308.601303667802,7.4135881105102,3.02136285478302,24.2143753046188,210.329340405761,74.0575879574219,146.727272727273,90.375,80.25,164.153846153846,183.913043478261,150.8,166,NA,162,168,166,192,205,157,313,262,308,308,308,310,305,319
2009,0.225824175824176,-2.8254347826087,8.29739130434783,-10.272,-1.09728767123288,397.423990978822,577.66841055141,53,52,93,130,121.68,241.02,153,345.54,861.24,22.2189914073638,318.578009907354,18.6461338997646,3.57285750759921,35.3479891351425,205.51554059184,77.7144801803714,162.727272727273,145.1875,149.5,163.192307692308,178.608695652174,159,166,NA,153,170,154,196,203,140,307,264,303,307,295,295,294,327
2010,-1.75307692307692,-4.20532608695652,9.37467391304348,-12.3756666666667,-2.18564383561644,451.943619632566,576.73547292918,44,28,115,138,156.39,280.8,192,315.9,945.09,34.1476719794839,283.108768007371,7.57549825823303,26.5721737212508,18.9905211863639,209.317791719517,54.8004551014906,167.511363636364,162.5,148.5,169.5,175.739130434783,166,163,NA,157,164,163,191,196,145,NA,266,NA,NA,NA,300,292,NA
2011,-0.631428571428571,-3.74619565217391,10.4964130434783,-10.8302222222222,-1.12646575342466,545.447017910698,734.261669988202,67,35,106,139,232.05,428.22,313,492.18,1465.45,43.9589338716685,315.119172947606,5.51960534081757,38.439328530851,14.3991824342776,219.817929844006,80.9020606693223,168.681818181818,128,97.125,185.461538461538,198.695652173913,178.8,178,NA,178,181,179,217,222,163,NA,258,NA,NA,NA,299,297,NA
2012,-0.472087912087912,-0.239130434782609,11.8419565217391,-11.2857142857143,-0.00683060109289617,650.314875225887,882.039740914103,16,31,108,135,173.55,90.09,270,323.31,856.95,38.0432933413866,346.767670981159,18.9322105732396,19.1110827681469,49.3821054942441,228.762768756816,68.6227967300987,108.858974358974,78.875,66,114.916666666667,138.75,103,126,NA,129,129,141,168,176,108,301,276,300,300,299,297,296,319
2013,1.09725274725275,-3.84239130434783,10.9015217391304,-10.3333333333333,-0.495095890410959,573.412,779.843879676656,58,15,114,133,106.47,265.2,177,234.78,783.45,25.7693201861683,322.584248774542,5.63994801644026,20.129372169728,27.3935568737861,221.572858821021,73.6178330797352,141.058823529412,134,137.333333333333,144,154,142,162,NA,162,166,162,188,194,155,295,266,293,293,293,288,285,309
2014,0.425164835164835,-2.92054347826087,9.2745652173913,-10.3155555555556,-0.836,466.1,664.8825,50,33,114,139,294.06,356.07,182,335.79,1167.92,14.0784259815156,314.266583703399,11.6974607610249,2.38096522049068,39.0666021736705,205.157437573694,69.897623250997,158.530864197531,134.8125,140.75,162.913043478261,178.684210526316,152.6,164,NA,172,165,160,196,202,144,310,273,307,307,305,304,299,322
2015,1.18175824175824,-1.48391304347826,10.5132608695652,-7.77966666666667,0.652246575342466,533.959,751.014,15,33,145,156,141.57,276.21,154.89,342.59,915.26,37.3601761682896,337.057075920112,26.6440372815799,10.7161388867096,27.6794858937956,213.84152815041,92.357875360872,160.555555555556,150.375,146.375,162.333333333333,171.052631578947,157.2,172,NA,164,171,168,189,193,141,310,281,304,300,302,296,296,323
2016,2.13824175824176,-2.8120652173913,10.8598913043478,-9.04956043956044,0.304562841530055,572.2005,827.011,52,34,116,130,184.44,321.6,167,284.8,957.84,98.9322447230171,347.3526231125,33.6964252753762,65.2358194476409,26.3855942598227,219.142603999419,101.824424853258,154.375,135.375,129.5,158.461538461538,171.565217391304,143.6,157,NA,160,162,164,182,189,149,NA,NA,322,324,324,316,310,NA
2017,2.75714285714286,-1.11554347826087,10.4821739130435,-8.97311111111111,0.835753424657534,536.0155,798.957,16,32,118,126,94.77,284.57,187.71,459.74,1026.79,58.6726602248679,363.97849695123,26.0741689103871,32.5984913144808,44.7659604204775,218.965359264453,99.006860550433,166.344827586207,143.875,146.5,171.653846153846,185.454545454545,157,169,NA,173,172,169,199,NA,148,300,NA,294,294,296,290,289,313
2018,1.61131868131868,-0.989565217391304,11.2511956521739,-8.12833333333333,0.983972602739726,605.525,860.0015,52,8,140,157,133.14,240.40346,126.462,349.24572,849.25118,57.0197777687655,339.876128346585,44.3241099438877,12.6956678248777,48.5175786942654,217.220451184899,74.1380984674212,NA,NA,NA,NA,NA,NA,173,NA,173,173,173,177,184,116,304,NA,296,296,296,296,296,NA
