year,GSLthreedayneg3C
1982,103
1983,99
1984,111
1985,124
1986,118
1987,140
1988,131
1989,119
1990,140
1991,122
1992,150
1993,152
1994,152
1995,117
1996,140
1997,139
1998,122
1999,134
2000,128
2001,86
2002,130
2003,155
2004,103
2005,132
2006,130
2007,110
2008,116
2009,130
2010,138
2011,139
2012,135
2013,133
2014,139
2015,156
2016,130
2017,126
2018,157
