year,fivedayrunning
1982,57
1983,50
1984,51
1985,37
1986,46
1987,10
1988,15
1989,46
1990,36
1991,41
1992,43
1993,42
1994,17
1995,44
1996,14
1997,33
1998,31
1999,49
2000,4
2001,37
2002,28
2003,25
2004,35
2005,20
2006,20
2007,41
2008,32
2009,52
2010,28
2011,35
2012,31
2013,15
2014,33
2015,33
2016,34
2017,32
2018,8
