water_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT
1982,-0.348131868131868,-6.24554347826087,7.37054347826087,-12.4334444444444,-2.86901369863014
1983,-3.04461538461538,-7.32086956521739,7.91086956521739,-9.63377777777778,-2.98580821917808
1984,-2.09406593406593,-6.14,7.86282608695652,-13.1583516483516,-3.35920765027322
1985,-3.34175824175824,-3.59597826086957,8.18326086956522,-12.9051111111111,-2.85898630136986
1986,-3.28857142857143,-4.37380434782609,7.78413043478261,-11.7162222222222,-2.84923287671233
1987,-1.31802197802198,-1.52913043478261,9.78836956521739,-9.96744444444444,-0.704547945205479
1988,0.801428571428571,-3.57173913043478,10.8821739130435,-11.702967032967,-0.872896174863388
1989,-0.223296703296703,-1.81413043478261,8.89619565217391,-10.7514444444444,-0.921643835616438
1990,0.0220879120879121,-2.56108695652174,9.65684782608696,-11.0466666666667,-0.929808219178082
1991,0.364725274725275,-3.53673913043478,8.96913043478261,-10.9388888888889,-1.23706849315069
1992,-1.12428571428571,-1.09717391304348,8.77717391304348,-8.51835164835165,-0.466994535519126
1993,-0.306923076923077,-3.08369565217391,8.25336956521739,-10.5173333333333,-1.36679452054795
1994,-2.73175824175824,-1.36510869565217,10.4922826086957,-11.5186666666667,-1.2207397260274
1995,-1.20989010989011,-3.97641304347826,9.17239130434783,-9.06233333333333,-1.22652054794521
1996,-0.693956043956044,-2.6654347826087,10.163152173913,-10.3654945054945,-0.865081967213115
1997,-0.91010989010989,-3.46391304347826,9.20630434782609,-11.1241111111111,-1.52243835616438
1998,-0.695604395604396,-3.35608695652174,8.67967391304348,-10.5621111111111,-1.43594520547945
1999,0.184285714285714,-3.33347826086957,9.18630434782609,-10.0648888888889,-0.960575342465753
2000,1.3856043956044,-1.49434782608696,10.4247826086957,-9.33956043956044,0.267185792349727
2001,-1.13252747252747,-2.44445652173913,10.0969565217391,-10.5306666666667,-0.950109589041096
2002,0.501318681318681,-2.25467391304348,11.5413043478261,-10.8757777777778,-0.215972602739726
2003,-1.16703296703297,-2.14184782608696,10.1732608695652,-9.79333333333333,-0.681397260273973
2004,-0.512417582417582,-1.94163043478261,7.6825,-10.6002197802198,-1.31991803278689
2005,-0.991208791208791,-2.89021739130435,9.27880434782609,-8.79433333333333,-0.805315068493151
2006,0.623076923076923,-1.88152173913043,10.2882608695652,-11.1281111111111,-0.469616438356164
2007,-1.69032967032967,-1.68130434782609,10.6978260869565,-10.327,-0.695150684931507
2008,0.690659340659341,-4.62413043478261,9.52684782608696,-12.3521978021978,-1.66707650273224
2009,0.225824175824176,-2.8254347826087,8.29739130434783,-10.272,-1.09728767123288
2010,-1.75307692307692,-4.20532608695652,9.37467391304348,-12.3756666666667,-2.18564383561644
2011,-0.631428571428571,-3.74619565217391,10.4964130434783,-10.8302222222222,-1.12646575342466
2012,-0.472087912087912,-0.239130434782609,11.8419565217391,-11.2857142857143,-0.00683060109289617
2013,1.09725274725275,-3.84239130434783,10.9015217391304,-10.3333333333333,-0.495095890410959
2014,0.425164835164835,-2.92054347826087,9.2745652173913,-10.3155555555556,-0.836
2015,1.18175824175824,-1.48391304347826,10.5132608695652,-7.77966666666667,0.652246575342466
2016,2.13824175824176,-2.8120652173913,10.8598913043478,-9.04956043956044,0.304562841530055
2017,2.75714285714286,-1.11554347826087,10.4821739130435,-8.97311111111111,0.835753424657534
2018,1.61131868131868,-0.989565217391304,11.2511956521739,-8.12833333333333,0.983972602739726
