sumallPC1,sumallPC2,site
-0.41626666923496,-0.299355016861106,1991
-0.382451790398342,0.709752126458558,1992
-0.683226557403047,1.92087278860675,1993
0.909741834860871,1.07604718121016,1994
-1.27427043298391,-0.152867338782354,1995
0.429413054364392,1.40481133068835,1996
-0.456873947723591,0.183167949336361,1997
-1.14704744685578,-0.716403419005825,1998
-0.67281443879026,-0.932031291724989,1999
0.633863269994396,0.35329406329323,2000
0.155007273144634,-1.35741929295012,2001
1.64623576968027,-0.101120730649232,2002
0.634524294167993,0.336544894681118,2003
-0.840080858977249,-0.528488929728744,2004
-0.237932483097527,0.141962016249493,2005
0.458157970819526,0.224509592064504,2006
0.498161568890179,-0.829670516856703,2007
-0.339292262326807,-0.576272538170005,2008
-0.692695077145976,0.737548102250733,2009
-0.296189282129719,0.175019694659471,2010
-0.182302617200889,-0.624626092322814,2011
1.6989559452332,-0.833538592173207,2012
0.557382883112596,-0.311735980273636,2013
