"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2017-01-05,2017,1,5,"c1","cr1000","airtemp_avg","hmp3",-21.14028,"n"
"raw hmps",2017-01-05,2017,1,5,"c1","cr1000","airtemp_max","hmp3",-15.51,"n"
"raw hmps",2017-01-05,2017,1,5,"c1","cr1000","airtemp_min","hmp3",-25.81,"n"
"raw hmps",2017-01-05,2017,1,5,"c1","cr1000","DTR","hmp1",10.35,"n"
"raw hmps",2017-01-05,2017,1,5,"c1","cr1000","DTR","hmp2",10.34,"n"
"raw hmps",2017-01-05,2017,1,5,"c1","cr1000","DTR","hmp3",10.3,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_avg","hmp1",-21.03104,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_max","hmp1",-13.79,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_min","hmp1",-31.94,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_avg","hmp2",-21.17219,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_max","hmp2",-13.98,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_min","hmp2",-32.11,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_avg","hmp3",-20.96097,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_max","hmp3",-12.1,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","airtemp_min","hmp3",-31.82,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","DTR","hmp1",18.15,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","DTR","hmp2",18.13,"n"
"raw hmps",2017-01-06,2017,1,6,"c1","cr1000","DTR","hmp3",19.72,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_avg","hmp1",-8.62898,"n"
