"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2018-01-05,2018,1,5,"d1","cr1000","airtemp_avg","hmp3",-6.55221,"n"
"raw hmps",2018-01-05,2018,1,5,"d1","cr1000","airtemp_max","hmp3",-4.907,"n"
"raw hmps",2018-01-05,2018,1,5,"d1","cr1000","airtemp_min","hmp3",-7.856,"n"
"raw hmps",2018-01-05,2018,1,5,"d1","cr1000","DTR","hmp1",2.924,"n"
"raw hmps",2018-01-05,2018,1,5,"d1","cr1000","DTR","hmp2",3.02,"n"
"raw hmps",2018-01-05,2018,1,5,"d1","cr1000","DTR","hmp3",2.949,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_avg","hmp1",-7.16553,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_max","hmp1",-5.572,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_min","hmp1",-8.2,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_avg","hmp2",-7.16535,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_max","hmp2",-5.619,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_min","hmp2",-8.2,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_avg","hmp3",-7.1656,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_max","hmp3",-5.548,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","airtemp_min","hmp3",-8.2,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","DTR","hmp1",2.628,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","DTR","hmp2",2.581,"n"
"raw hmps",2018-01-06,2018,1,6,"d1","cr1000","DTR","hmp3",2.652,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_avg","hmp1",-10.06928,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_max","hmp1",-5.531,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_min","hmp1",-12.57,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_avg","hmp2",-10.06926,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_max","hmp2",-5.507,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_min","hmp2",-12.57,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_avg","hmp3",-10.06942,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_max","hmp3",-5.531,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","airtemp_min","hmp3",-12.55,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","DTR","hmp1",7.039,"n"
