"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","airtemp_max","hmp3",-3.009,"n"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","airtemp_min","hmp3",-6.385,"n"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","airtemp_min","hmp2",-6.194,"n"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","airtemp_avg","hmp3",-4.80219,"n"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","DTR","hmp3",3.376,"n"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","DTR","hmp1",3.328,"n"
"raw hmps",2018-01-05,2018,1,5,"sdl","cr1000","DTR","hmp2",3.304,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_avg","hmp2",-5.12031,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_min","hmp1",-6.695,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_max","hmp3",-3.145,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_max","hmp2",-3.026,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_min","hmp2",-6.648,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_avg","hmp3",-5.26646,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_avg","hmp1",-5.12533,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_max","hmp1",-3.05,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","airtemp_min","hmp3",-6.791,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","DTR","hmp1",3.645,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","DTR","hmp2",3.622,"n"
"raw hmps",2018-01-06,2018,1,6,"sdl","cr1000","DTR","hmp3",3.646,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_min","hmp2",-10.97,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_avg","hmp3",-8.6935,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_max","hmp3",-4.654,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_min","hmp3",-11.11,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_avg","hmp1",-8.54285,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_max","hmp1",-4.463,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_min","hmp1",-10.99,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_avg","hmp2",-8.51798,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","airtemp_max","hmp2",-4.487,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","DTR","hmp1",6.527,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","DTR","hmp2",6.483,"n"
"raw hmps",2018-01-07,2018,1,7,"sdl","cr1000","DTR","hmp3",6.456,"n"
