sumallPC1,sumallPC2,site
-1.04587556178966,0.058510919725056,1982
-0.980269198302864,0.337135358069514,1983
-0.869033379827731,0.88508859516761,1984
0.216054670153076,-1.27970593367701,1985
-0.486193538661262,-0.202109639032101,1986
0.330762661011684,-0.706273533866338,1987
0.621893521425823,-1.3023532370968,1988
-0.519276186002389,-1.47853106007576,1989
-0.00866367680624653,0.0982536049724094,1990
-0.688391304171439,0.137712477847147,1991
-1.03494752279129,-1.06012989249423,1992
-1.33454045980788,-1.31358793236857,1993
-0.0377198184354899,-0.595426938817531,1994
-0.982563916504421,0.468721912179355,1995
-0.00695419334153268,-0.705358541564118,1996
-0.56456606650193,0.304444056580392,1997
-1.02552414027782,0.677285655956139,1998
-0.809854814773804,1.26620052011291,1999
0.400139456765443,-0.0603209690367328,2000
0.233098092418985,0.675466661223592,2001
1.22437732666051,-0.225133408200939,2002
0.4285825365426,0.181224074227532,2003
-0.160471108543061,0.236497534548701,2004
0.255661773718924,0.170934890858693,2005
0.713500624560958,0.0744057704289444,2006
0.580277435754892,0.408876815225543,2007
0.0826674758685133,0.598216845914039,2008
-0.163199047177544,-0.186484780116496,2009
0.573960212449488,0.255857131371532,2010
0.0911621426972842,1.60425792110649,2011
1.1953194598012,0.741918071656916,2012
0.683653102845087,0.590918833222513,2013
-0.0328383508495227,0.124095674471217,2014
0.694293185651264,-0.181763363518451,2015
0.674763893121695,-0.118868637423095,2016
0.52222833634105,-0.127772303138726,2017
1.2284863767774,-0.352203154439339,2018
