eco_year,sumallPC1,sumallPC2,sum_meanT,sum_precip,sum_moisturedeficit,sum_PET,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreedayneg3C,iceoff_GL4
1982,-1.04587556178966,0.058510919725056,7.70130434782609,196,5.23366925023368,200.003358367001,378.785520574789,81,57,103,207
1983,-0.980269198302864,0.337135358069514,8.23891304347826,216,0,199.856268302529,401.636499231426,85,50,99,208
1984,-0.869033379827731,0.88508859516761,8.19076086956522,327,0.755724086088292,204.417647885799,387.695384152152,71,51,111,201
1985,0.216054670153076,-1.27970593367701,8.52739130434783,99,50.0074860346134,211.610850369216,428.992398780162,45,37,132,187
1986,-0.486193538661262,-0.202109639032101,8.11684782608696,165,13.353099521916,209.096184310755,391.809401488703,61,46,118,201
1987,0.330762661011684,-0.706273533866338,8.19652173913044,170,10.9516536779319,207.894008398782,450.928992119208,4,10,113,178
1988,0.621893521425823,-1.3023532370968,9.37630434782609,91,50.5368940593732,217.587263789877,503.068965049199,43,15,113,189
1989,-0.519276186002389,-1.47853106007576,7.38260869565217,145,27.0586501277572,195.605438005352,412.400498797255,9,47,80,192
1990,-0.00866367680624653,0.0982536049724094,8.09228260869565,248,12.2502292946677,202.240740112762,462.124051334045,32,21,137,189
1991,-0.688391304171439,0.137712477847147,7.52989130434783,242,5.06471577747011,204.587969801442,385.401201513592,69,44,105,189
1992,-1.03494752279129,-1.06012989249423,6.65304347826087,184,11.3967324727354,192.780596573137,389.2773990847,44,50,54,189
1993,-1.33454045980788,-1.31358793236857,6.0729347826087,167,40.1667029123507,199.98268090289,295.525423522804,73,58,72,216
1994,-0.0377198184354899,-0.595426938817531,8.30369565217391,132,18.1321971185447,207.816786365389,403.5375,48,36,129,180
1995,-0.982563916504421,0.468721912179355,7.98608695652174,334,26.3171123084119,201.0047212871,394.569076966922,81,44,104,220
1996,-0.00695419334153268,-0.705358541564118,9.1020652173913,124,37.0998810462518,215.140002339089,448.589844362936,65,38,114,199
1997,-0.56456606650193,0.304444056580392,8.28347826086956,207,7.49745990519158,204.564812444429,388.637186747291,66,50,138,200
1998,-1.02552414027782,0.677285655956139,7.89347826086957,310,0.0913083371623961,191.459874197194,381.289502300493,62,55,122,200
1999,-0.809854814773804,1.26620052011291,8.0025,367,1.10867993767128,207.27925384529,359.5015,80,51,133,195
2000,0.400139456765443,-0.0603209690367328,10.2253260869565,160,21.5370462697484,211.457914811052,535.281564467301,58,29,129,183
2001,0.233098092418985,0.675466661223592,10.4746739130435,246,1.7207885351385,216.608136980168,548.436871200752,48,37,110,183
2002,1.22437732666051,-0.225133408200939,11.3519565217391,161,33.8112972502924,225.553631658189,622.703943323984,37,28,131,159
2003,0.4285825365426,0.181224074227532,10.2259782608696,204,21.7375081940696,208.83974014252,548.259158688172,41,24,141,193
2004,-0.160471108543061,0.236497534548701,8.76141304347826,271,3.62066883384045,206.880132277421,430.102775304108,20,34,115,189
2005,0.255661773718924,0.170934890858693,9.70260869565217,215,21.5796906509961,204.964155917545,505.1445,45,20,145,196
2006,0.713500624560958,0.0744057704289444,10.7805434782609,219,27.6443578152785,224.949561389445,560.0875,41,20,111,186
2007,0.580277435754892,0.408876815225543,11.0629347826087,228,22.6976873849221,220.968838546341,599.833,47,41,122,182
2008,0.0826674758685133,0.598216845914039,9.93097826086957,239,10.4159308017468,212.049669542607,525.2375,66,31,122,192
2009,-0.163199047177544,-0.186484780116496,9.1529347826087,153,20.4963273112971,207.255540662015,454.287,53,51,135,196
2010,0.573960212449488,0.255857131371532,10.4972826086957,192,23.5077559310821,214.464006077927,542.39063813676,42,28,153,191
2011,0.0911621426972842,1.60425792110649,10.7065217391304,313,5.16473819808128,220.878076422921,567.152942061298,67,34,140,217
2012,1.1953194598012,0.741918071656916,11.738152173913,270,19.0589792365142,226.730496117973,642.032,15,31,146,168
2013,0.683653102845087,0.590918833222513,10.9015217391304,177,5.63994801644026,221.572858821021,573.412,58,15,133,188
2014,-0.0328383508495227,0.124095674471217,9.2745652173913,182,11.6974607610249,205.157437573694,466.1,50,33,139,196
2015,0.694293185651264,-0.181763363518451,10.5132608695652,154.89,26.6440372815799,213.84152815041,533.959,15,33,156,189
2016,0.674763893121695,-0.118868637423095,10.8598913043478,167,33.6964252753762,219.142603999419,572.2005,52,34,130,182
2017,0.52222833634105,-0.127772303138726,10.4821739130435,187.71,26.0741689103871,218.965359264453,536.0155,16,32,126,199
2018,1.2284863767774,-0.352203154439339,11.2511956521739,126.462,44.3241099438877,217.220451184899,605.525,52,8,157,177
