year,GDD
1982,355.5
1983,333
1984,367
1985,389.55
1986,343.5
1987,506.5
1988,622
1989,497.5
1990,536
1991,488
1992,455
1993,443.5
1994,550.5
1995,452
1996,525
1997,446.5
1998,467
1999,460.5
2000,610
2001,550.5
2002,676
2003,561
2004,396
2005,482.5
2006,583.5
2007,563
2008,531.5
2009,426.5
2010,442.65
2011,579.9
2012,710.9
2013,608.35
2014,509.25
2015,391.645789878301
2016,368
2017,561.913965646571
2018,485.003299328193
