year,fivedayrunning
1982,58
1983,51
1984,59
1985,38
1986,56
1987,37
1988,36
1989,48
1990,37
1991,48
1992,51
1993,45
1994,35
1995,68
1996,39
1997,51
1998,57
1999,51
2000,29
2001,39
2002,29
2003,27
2004,36
2005,22
2006,34
2007,46
2008,47
2009,54
2010,37
2011,55
2012,33
2013,40
2014,54
2015,50
2016,48
2017,38
2018,36
