year,GSLthreeday0C
1982,79
1983,98
1984,108
1985,48
1986,89
1987,115
1988,96
1989,79
1990,112
1991,103
1992,113
1993,65
1994,113
1995,102
1996,109
1997,103
1998,110
1999,111
2000,123
2001,85
2002,118
2003,96
2004,91
2005,94
2006,109
2007,110
2008,65
2009,93
2010,101
2011,106
2012,108
2013,119
2014,114
2015,99
2016,77
2017,117
2018,115
