eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1997,-1.49450549450549,-4.66847826086957,7.83695652173913,-11.3166666666667,-2.36438356164384,340.5,446.5,69,51,103,139,235.17,306.93,207,449.28,1198.38,23.1080146933657,289.884836717439,4.6646186461035,18.4433960472622,18.9119889472202,202.680643774882,66.5359809697129,155.5,138.75,128,160.045454545455,178.944444444444,147,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA
1998,-1.27472527472527,-4.55978260869565,7.29347826086957,-10.7444444444444,-2.27808219178082,331,467,78,57,110,122,195,200.46,310,281.58,987.04,22.0100397841257,294.751579439311,0.0655513192299128,21.9444884648958,25.3227026932602,189.778173382579,79.6507033634717,160.652173913043,139,150,160.68,175.235294117647,147,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA
1999,-0.368131868131868,-4.53260869565217,7.81521739130435,-10.2222222222222,-1.78493150684932,336,460.5,80,51,111,134,145.47,361.53,367,342.03,1216.03,14.3242846884037,306.836450979628,1.02373184475037,13.3005528436533,21.9040201566689,206.722749650284,76.9979770841655,157.285714285714,135.75,137,164,174.526315789474,152,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA
2000,0.884615384615385,-2.63586956521739,9.10326086956522,-9.48351648351648,-0.512295081967213,440,610,58,29,123,128,121.68,371.28,160,439.14,1092.1,34.919798356463,340.600012340515,19.0950141556514,15.8247842008117,40.4952141132588,207.639524075382,91.6271512319007,128.25974025974,61,94,139.038461538462,158.473684210526,133,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311
2001,-1.71428571428571,-3.625,8.76086956521739,-10.7055555555556,-1.77260273972603,411.5,550.5,58,39,85,86,115.44,302.64,246,302.64,966.72,10.3710589975849,313.913778979704,0.912081902544102,9.4589770950408,35.5162074489195,209.458476449864,68.9390950809201,134.695652173913,115.3125,117,142.666666666667,154.7,134.6,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359
2002,-0.032967032967033,-3.41847826086957,10.2608695652174,-11.0555555555556,-1.00958904109589,528,676,45,29,118,130,166.53,168.09,161,359.19,854.81,26.3775008557567,324.843591233005,21.0760233783342,5.30147747742253,30.0489830765134,221.653740700636,73.1408674558552,107.585365853659,84,92,113,120.578947368421,99.2,139,NA,122,139,141,159,173,104,296,273,296,291,291,291,296,309
2003,-1.75824175824176,-3.30978260869565,8.84239130434783,-9.95,-1.4972602739726,434,561,42,27,96,141,166.14,435.63,204,252.72,1058.49,27.0680028509368,295.188766537237,15.5921647033525,11.4758381475844,37.0484857669493,207.799042970331,49.1834076884793,117.24,83.375,85.1666666666667,145.384615384615,156.2,141,158,NA,163,166,159,193,199,149,NA,268,304,303,303,301,301,NA
2004,-1.08241758241758,-3.10326086956522,6.27173913043478,-10.7802197802198,-2.15300546448087,274.5,396,65,36,91,103,154.05,296.79,271,235.95,957.79,12.9781215831825,303.047701448751,3.42502559497268,9.55309598820981,36.2372167495687,196.684125430056,70.1263592691263,145.926829268293,124.5625,125.75,151.807692307692,162.764705882353,138.4,152,NA,152,164,160,189,197,145,311,260,305,305,305,301,295,316
2005,-1.57692307692308,-4.08152173913043,7.91847826086957,-8.91666666666667,-1.62465753424658,375.5,482.5,77,22,94,115,182.52,274.56,215,289.38,961.46,20.1513224403605,288.274809510549,14.6188716591937,5.53245078116676,28.6290830558594,197.338161015102,61.9153086889384,146.475609756098,96.3125,94.125,165.44,178.055555555556,153.8,149,NA,150,163,161,196,204,140,312,258,307,311,311,309,308,319
2006,0.0879120879120879,-3.03260869565217,8.95652173913044,-11.3222222222222,-1.27671232876712,416.5,583.5,74,34,109,130,204.75,259.35,219,391.17,1074.27,51.485382730658,333.453267014088,23.5116740120724,27.9737087185856,35.5115199887252,218.011707150687,79.9300398746759,127.745762711864,79.4545454545455,118.75,133.857142857143,156.454545454545,128.6,158,NA,158,158,152,186,189,130,295,257,295,295,290,288,288,325
2007,-2.30769230769231,-2.83152173913043,9.38586956521739,-10.4944444444444,-1.51095890410959,466.5,563,59,46,110,110,207.48,234,228,299.13,968.61,28.0315847668367,293.27582842638,9.15288951562638,18.8786952512104,30.3322680162262,213.778238985491,49.1653214246634,156.602272727273,145.1875,146.25,157.961538461538,164.95652173913,161.4,160,NA,154,157,155,182,188,143,313,280,296,308,295,293,293,320
2008,0.164835164835165,-5.86413043478261,8.17934782608696,-12.5879120879121,-2.5068306010929,400.5,531.5,79,47,65,121,89.7,346.71,239,409.11,1084.52,2.82457853074699,293.288940245738,0.922169437487983,1.90240909325901,18.3545158661371,202.809082817128,72.1253415624728,146.727272727273,90.375,80.25,164.153846153846,183.913043478261,150.8,166,NA,162,168,166,192,205,157,313,262,308,308,308,310,305,319
2009,-0.313186813186813,-4.01086956521739,6.90760869565217,-10.4388888888889,-1.92191780821918,310.5,426.5,76,54,93,130,121.68,241.02,153,345.54,861.24,16.6986755908571,304.008966860937,14.5905277228212,2.10814786803596,27.7182118041615,201.10779762041,75.1829574363662,162.727272727273,145.1875,149.5,163.192307692308,178.608695652174,159,166,NA,153,170,154,196,203,140,307,264,303,307,295,295,294,327
2010,-2.36263736263736,-5.45510869565217,8.01630434782609,-12.8115555555556,-3.10249315068493,358.5,441.503127091329,86,37,101,138,156.39,280.8,192,315.9,945.09,27.577294791282,273.65884751123,3.14996189818459,24.4273328930974,13.7154086165747,204.838012978624,55.1054259160311,167.511363636364,162.5,148.5,169.5,175.739130434783,166,163,NA,157,164,163,191,196,145,NA,266,NA,NA,NA,300,292,NA
2011,-1.47879120879121,-4.96739130434783,9.22880434782609,-11.2477777777778,-2.068,443.049170673781,565.631751730884,68,55,106,139,232.05,428.22,313,492.18,1465.45,34.6798713221149,298.110335339488,4.47295024590778,30.2069210762071,9.18860920386428,213.187040328442,75.7346858071816,168.681818181818,128,97.125,185.461538461538,198.695652173913,178.8,178,NA,178,181,179,217,222,163,NA,258,NA,NA,NA,299,297,NA
2012,-1.16417582417582,-1.33152173913043,9.6920652173913,-11.4803296703297,-1.04229508196721,475.74015642039,629.688425726199,23,33,108,135,173.55,90.09,270,323.31,856.95,27.5939969598663,322.77794620129,13.6868497405349,13.9071472193313,43.8138176875782,217.28880005929,61.6753284544215,108.858974358974,78.875,66,114.916666666667,138.75,103,126,NA,129,129,141,168,176,108,301,276,300,300,299,297,296,319
2013,0.0530769230769231,-5.23315217391304,9.25576086956522,-11.0883333333333,-1.70695890410959,445.349468795242,570.574509434298,72,40,119,133,106.47,265.2,177,234.78,783.45,14.3445907202624,301.609365774051,0.418699125526691,13.9258915947358,21.7645755248531,213.857699961412,65.9870902877853,141.058823529412,134,137.333333333333,144,154,142,162,NA,162,166,162,188,194,155,295,266,293,293,293,288,285,309
2014,-0.675384615384615,-4.38336956521739,6.99032608695652,-11.5898888888889,-2.36906849315069,300.220636666149,410.190798313647,65,54,114,140,294.06,356.07,182,335.79,1167.92,1.54783678084257,288.205781364752,0.979517516496122,0.568319264346448,29.9730890212949,195.119919279559,63.1127730638981,158.530864197531,134.8125,140.75,162.913043478261,178.684210526316,152.6,164,NA,172,165,160,196,202,144,310,273,307,307,305,304,299,322
2015,0.235824175824176,-4.25130434782609,6.44739130434783,-8.87322222222222,-1.57558904109589,260.545789878301,392.150915862595,93,50,99,145,141.57,276.21,154.89,342.59,915.26,29.2379933192881,296.207480332681,21.6265230769912,7.61147024229686,6.16706757682444,198.510837731297,89.4982207472182,160.555555555556,150.375,146.375,162.333333333333,171.052631578947,157.2,172,NA,164,171,168,189,193,141,310,281,304,300,302,296,296,323
2016,-1.59879120879121,-6.21445652173913,6.47826086956522,-12.340989010989,-3.39959016393443,274.5,368,94,48,77,127,184.44,321.6,167,284.8,957.84,58.6391078503154,274.60314423614,6.16223186201043,52.476875988305,4.45307728882498,189.855909387771,80.2941575595438,154.375,135.375,129.5,158.461538461538,171.565217391304,143.6,157,NA,160,162,164,182,189,149,NA,NA,322,324,324,316,310,NA
2017,2.26373626373626,-3.46913043478261,8.8804347826087,-10.0963333333333,-0.561178082191781,411,561.913965646571,66,38,117,125,94.77,284.57,187.71,459.74,1026.79,35.8254531329678,349.162568498159,3.74152282711108,32.0839303058567,23.89369897743,212.656185269,112.612684251729,166.344827586207,143.875,146.5,171.653846153846,185.454545454545,157,169,NA,173,172,169,199,NA,148,300,NA,294,294,296,290,289,313
2018,-0.00637362637362637,-4.05271739130435,7.81815217391304,-10.414,-1.62032876712329,354.201780928682,485.003299328193,58,36,115,140,133.14,240.40346,126.462,349.24572,849.25118,42.9546796229139,290.689479167752,31.8518721832554,11.1028074396585,25.5371484368689,201.426142938472,63.7261877924114,NA,NA,NA,NA,NA,NA,173,NA,173,173,173,177,184,116,304,NA,296,296,296,296,296,NA
