"spp_gains","plot","year","event","rem","nut","USDA_code","USDA_name","growth_habit"
NA,"CBX",2012,11,"B","X",NA,NA,NA
"POAALP","CBX",2013,12,"B","X","POAL2","Poa alpina","graminoid"
"CARHET","CBX",2014,13,"B","X","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"SALIX_SP1","CBX",2014,13,"B","X","SALIX","Salix","shrub, subshrub"
NA,"CBX",2015,14,"B","X",NA,NA,NA
"SAXRHO","CBX",2016,15,"B","X","SARH2","Saxifraga rhomboidea","forb"
"CAMROT","CBX",2017,16,"B","X","CARO2","Campanula rotundifolia","forb"
"SEDLAN","CBX",2017,16,"B","X","SELA","Sedum lanceolatum","forb"
"POAARC","CBX",2018,17,"B","X","POARG","Poa arctica ssp. grayana","graminoid"
"SELDEN","CBX",2018,17,"B","X","SEDES","Selaginella densa var. scopulorum","lycopod"
"GENPRO","CDC",2003,2,"D","C","GEPR3","Gentiana prostrata","forb"
"LEWPYG","CDC",2003,2,"D","C","LEPY2","Lewisia pygmaea","forb"
"CHIJAM","CDC",2004,3,"D","C","CHJA","Chionophila jamesii","forb"
"POAGLA","CDC",2004,3,"D","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"RHORHO","CDC",2004,3,"D","C","RHRH4","Rhodiola rhodantha","forb"
"AREFEN","CDC",2005,4,"D","C","ARFE3","Arenaria fendleri","forb"
"DANINT","CDC",2005,4,"D","C","DAIN","Danthonia intermedia","graminoid"
"ALLGEY","CDC",2006,5,"D","C","ALGE","Allium geyeri","forb"
"FESBRA","CDC",2006,5,"D","C","FEBR","Festuca brachyphylla","graminoid"
"LUZSPI","CDC",2006,5,"D","C","LUSP4","Luzula spicata","graminoid"
"SAXRHO","CDC",2007,6,"D","C","SARH2","Saxifraga rhomboidea","forb"
NA,"CDC",2008,7,"D","C",NA,NA,NA
NA,"CDC",2009,8,"D","C",NA,NA,NA
"RANADO","CDC",2010,9,"D","C","RAAD","Ranunculus adoneus","forb"
NA,"CDC",2011,10,"D","C",NA,NA,NA
NA,"CDC",2012,11,"D","C",NA,NA,NA
"GENAMA","CDC",2013,12,"D","C","GEAM3","Gentianella amarella","forb"
"CARHET","CDC",2014,13,"D","C","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"POAARC","CDC",2014,13,"D","C","POARG","Poa arctica ssp. grayana","graminoid"
NA,"CDC",2015,14,"D","C",NA,NA,NA
"LEWPYG","CDN",2003,2,"D","N","LEPY2","Lewisia pygmaea","forb"
"RHOINT","CDN",2003,2,"D","N","RHIN11","Rhodiola integrifolia","forb"
"CHIJAM","CDN",2004,3,"D","N","CHJA","Chionophila jamesii","forb"
"LUZSPI","CDN",2004,3,"D","N","LUSP4","Luzula spicata","graminoid"
"POAGLA","CDN",2004,3,"D","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
"AREFEN","CDN",2005,4,"D","N","ARFE3","Arenaria fendleri","forb"
"DANINT","CDN",2005,4,"D","N","DAIN","Danthonia intermedia","graminoid"
"POAALP","CDN",2005,4,"D","N","POAL2","Poa alpina","graminoid"
