"lost_spp","year","event","plot","type","USDA_name"
"POGLR2",2014,11,58,"FF","Poa glauca ssp. rupicola"
"ELTRT",2015,12,58,"FF","Elymus trachycaulus ssp. trachycaulus"
"POAL2",2016,13,58,"FF","Poa alpina"
"SARH2",2016,13,58,"FF","Saxifraga rhomboidea"
"MIRU3",2016,13,58,"FF","Minuartia rubella"
"SELA",2016,13,58,"FF","Sedum lanceolatum"
NA,1990,2,59,"DM",NA
"ANRO2",1995,3,59,"DM","Antennaria rosea"
"TRDA2",1997,4,59,"DM","Trifolium dasyphyllum"
"SARH2",1997,4,59,"DM","Saxifraga rhomboidea"
NA,2006,5,59,"DM",NA
"NOMO2",2008,6,59,"DM","Noccaea montana"
"POAL2",2008,6,59,"DM","Poa alpina"
"POARG",2010,7,59,"DM","Poa arctica ssp. grayana"
"FEBR",2010,7,59,"DM","Festuca brachyphylla"
"SELA",2011,8,59,"DM","Sedum lanceolatum"
"SIACS2",2012,9,59,"DM","Silene acaulis var. subacaulescens"
"DECE",2013,10,59,"DM","Deschampsia cespitosa"
NA,2014,11,59,"DM",NA
NA,2015,12,59,"DM",NA
"ARFEF3",2016,13,59,"DM","Arenaria fendleri var. fendleri"
"ANME2",2016,13,59,"DM","Antennaria media"
NA,1990,2,60,"MM",NA
NA,1995,3,60,"MM",NA
NA,1997,4,60,"MM",NA
NA,2006,5,60,"MM",NA
"KOMY",2008,6,60,"MM","Kobresia myosuroides"
"STLO2",2010,7,60,"MM","Stellaria longipes"
NA,2011,8,60,"MM",NA
NA,2012,9,60,"MM",NA
"LUSP4",2013,10,60,"MM","Luzula spicata"
NA,2014,11,60,"MM",NA
"SEDES",2015,12,60,"MM","Selaginella densa var. scopulorum"
"POBI6",2016,13,60,"MM","Polygonum bistortoides"
"ERSI3",2016,13,60,"MM","Erigeron simplex"
"CAOC4",2016,13,60,"MM","Castilleja occidentalis"
NA,1990,2,601,"DM",NA
NA,1995,3,601,"DM",NA
NA,1997,4,601,"DM",NA
NA,2006,5,601,"DM",NA
"POBI6",2008,6,601,"DM","Polygonum bistortoides"
"ERPI6",2008,6,601,"DM","Erigeron pinnatisectus"
"DECE",2008,6,601,"DM","Deschampsia cespitosa"
"FEBR",2010,7,601,"DM","Festuca brachyphylla"
NA,2011,8,601,"DM",NA
"ARSC",2012,9,601,"DM","Artemisia scopulorum"
"TRPAP",2012,9,601,"DM","Trifolium parryi ssp. parryi"
"STLO2",2012,9,601,"DM","Stellaria longipes"
"DRAU",2012,9,601,"DM","Draba aurea"
"ERSI3",2012,9,601,"DM","Erigeron simplex"
NA,2013,10,601,"DM",NA
"ELTRT",2014,11,601,"DM","Elymus trachycaulus ssp. trachycaulus"
"MIOB2",2014,11,601,"DM","Minuartia obtusiloba"
"SIACS2",2015,12,601,"DM","Silene acaulis var. subacaulescens"
"NOMO2",2015,12,601,"DM","Noccaea montana"
"CARO2",2015,12,601,"DM","Campanula rotundifolia"
"TOPY",2016,13,601,"DM","Tonestus pygmaeus"
"SEDES",2016,13,601,"DM","Selaginella densa var. scopulorum"
NA,1990,2,61,"MM",NA
NA,1995,3,61,"MM",NA
NA,1997,4,61,"MM",NA
"SELA",2006,5,61,"MM","Sedum lanceolatum"
NA,2008,6,61,"MM",NA
"RAAD",2010,7,61,"MM","Ranunculus adoneus"
"CASCS2",2011,8,61,"MM","Carex scopulorum var. scopulorum"
"DECE",2012,9,61,"MM","Deschampsia cespitosa"
NA,2013,10,61,"MM",NA
"LUSP4",2014,11,61,"MM","Luzula spicata"
"TEGR3",2014,11,61,"MM","Tetraneuris grandiflora"
NA,2015,12,61,"MM",NA
NA,2016,13,61,"MM",NA
NA,1990,2,62,"SB",NA
NA,1995,3,62,"SB",NA
"POVI3",1997,4,62,"SB","Polygonum viviparum"
NA,2006,5,62,"SB",NA
"CAOC4",2008,6,62,"SB","Castilleja occidentalis"
NA,2010,7,62,"SB",NA
NA,2011,8,62,"SB",NA
"LEPY2",2012,9,62,"SB","Lewisia pygmaea"
"SEDES",2013,10,62,"SB","Selaginella densa var. scopulorum"
NA,2014,11,62,"SB",NA
NA,2015,12,62,"SB",NA
"ARFEF3",2016,13,62,"SB","Arenaria fendleri var. fendleri"
"CHJA",2016,13,62,"SB","Chionophila jamesii"
NA,1990,2,64,"MM",NA
NA,1995,3,64,"MM",NA
NA,1997,4,64,"MM",NA
NA,2006,5,64,"MM",NA
"LLSE",2008,6,64,"MM","Lloydia serotina"
"SIACS2",2010,7,64,"MM","Silene acaulis var. subacaulescens"
"TRSP2",2010,7,64,"MM","Trisetum spicatum"
NA,2011,8,64,"MM",NA
NA,2012,9,64,"MM",NA
"CAOC4",2013,10,64,"MM","Castilleja occidentalis"
NA,2014,11,64,"MM",NA
"ERSI3",2015,12,64,"MM","Erigeron simplex"
NA,2016,13,64,"MM",NA
NA,1990,2,65,"SB",NA
NA,1995,3,65,"SB",NA
NA,1997,4,65,"SB",NA
NA,2006,5,65,"SB",NA
"CHJA",2008,6,65,"SB","Chionophila jamesii"
"POARG",2010,7,65,"SB","Poa arctica ssp. grayana"
"DRAU",2011,8,65,"SB","Draba aurea"
"RAAD",2011,8,65,"SB","Ranunculus adoneus"
NA,2012,9,65,"SB",NA
NA,2013,10,65,"SB",NA
"POBI6",2014,11,65,"SB","Polygonum bistortoides"
"LUSP4",2015,12,65,"SB","Luzula spicata"
"LEPY2",2016,13,65,"SB","Lewisia pygmaea"
"GEROT",2016,13,65,"SB","Geum rossii var. turbinatum"
NA,1990,2,66,"SB",NA
NA,1995,3,66,"SB",NA
"LUSP4",1997,4,66,"SB","Luzula spicata"
NA,2006,5,66,"SB",NA
"POBI6",2008,6,66,"SB","Polygonum bistortoides"
"LLSE",2008,6,66,"SB","Lloydia serotina"
"OXDI3",2010,7,66,"SB","Oxyria digyna"
"CANI2",2010,7,66,"SB","Carex nigricans"
NA,2011,8,66,"SB",NA
NA,2012,9,66,"SB",NA
"STLO2",2013,10,66,"SB","Stellaria longipes"
"POARG",2013,10,66,"SB","Poa arctica ssp. grayana"
NA,2014,11,66,"SB",NA
NA,2015,12,66,"SB",NA
"CAOC4",2016,13,66,"SB","Castilleja occidentalis"
NA,1990,2,67,"MM",NA
"TRDA2",1995,3,67,"MM","Trifolium dasyphyllum"
"POVI3",1995,3,67,"MM","Polygonum viviparum"
NA,1997,4,67,"MM",NA
"POAL2",2006,5,67,"MM","Poa alpina"
"POARG",2006,5,67,"MM","Poa arctica ssp. grayana"
NA,2008,6,67,"MM",NA
NA,2010,7,67,"MM",NA
NA,2011,8,67,"MM",NA
NA,2012,9,67,"MM",NA
NA,2013,10,67,"MM",NA
NA,2014,11,67,"MM",NA
"LLSE",2015,12,67,"MM","Lloydia serotina"
"TRSP2",2016,13,67,"MM","Trisetum spicatum"
"FEBR",2016,13,67,"MM","Festuca brachyphylla"
NA,1990,2,68,"WM",NA
"CHJA",1995,3,68,"WM","Chionophila jamesii"
"POARG",1997,4,68,"WM","Poa arctica ssp. grayana"
"LUSP4",2006,5,68,"WM","Luzula spicata"
"POAL2",2008,6,68,"WM","Poa alpina"
"CAOC4",2008,6,68,"WM","Castilleja occidentalis"
"RHRH4",2010,7,68,"WM","Rhodiola rhodantha"
NA,2011,8,68,"WM",NA
"ERSI3",2012,9,68,"WM","Erigeron simplex"
"LLSE",2013,10,68,"WM","Lloydia serotina"
"SANI8",2014,11,68,"WM","Salix nivalis"
NA,2015,12,68,"WM",NA
"POBI6",2016,13,68,"WM","Polygonum bistortoides"
NA,1990,2,69,"DM",NA
NA,1995,3,69,"DM",NA
"POBI6",1997,4,69,"DM","Polygonum bistortoides"
NA,2006,5,69,"DM",NA
NA,2008,6,69,"DM",NA
NA,2010,7,69,"DM",NA
NA,2011,8,69,"DM",NA
"NOMO2",2012,9,69,"DM","Noccaea montana"
"ERSI3",2012,9,69,"DM","Erigeron simplex"
"ELTRT",2013,10,69,"DM","Elymus trachycaulus ssp. trachycaulus"
"ARFEF3",2014,11,69,"DM","Arenaria fendleri var. fendleri"
"CAUN2",2014,11,69,"DM","Campanula uniflora"
"PACA15",2015,12,69,"DM","Packera cana"
"SEDES",2016,13,69,"DM","Selaginella densa var. scopulorum"
NA,1990,2,70,"DM",NA
"ARSC",1995,3,70,"DM","Artemisia scopulorum"
NA,1997,4,70,"DM",NA
NA,2006,5,70,"DM",NA
"SEDES",2008,6,70,"DM","Selaginella densa var. scopulorum"
"NOMO2",2008,6,70,"DM","Noccaea montana"
NA,2010,7,70,"DM",NA
"CEARS2",2011,8,70,"DM","Cerastium arvense ssp. strictum"
"ERSI3",2012,9,70,"DM","Erigeron simplex"
"TOPY",2013,10,70,"DM","Tonestus pygmaeus"
"POBI6",2014,11,70,"DM","Polygonum bistortoides"
"CASCS2",2015,12,70,"DM","Carex scopulorum var. scopulorum"
"CARO2",2015,12,70,"DM","Campanula rotundifolia"
NA,2016,13,70,"DM",NA
NA,1990,2,701,"DM",NA
NA,1995,3,701,"DM",NA
NA,1997,4,701,"DM",NA
NA,2006,5,701,"DM",NA
"SEDES",2008,6,701,"DM","Selaginella densa var. scopulorum"
"ERPI6",2008,6,701,"DM","Erigeron pinnatisectus"
"NOMO2",2010,7,701,"DM","Noccaea montana"
NA,2011,8,701,"DM",NA
"CARO2",2012,9,701,"DM","Campanula rotundifolia"
NA,2013,10,701,"DM",NA
"ERSI3",2014,11,701,"DM","Erigeron simplex"
NA,2015,12,701,"DM",NA
"TEGR3",2016,13,701,"DM","Tetraneuris grandiflora"
"PACA15",2016,13,701,"DM","Packera cana"
"CAUN2",2016,13,701,"DM","Campanula uniflora"
NA,1990,2,72,"MM",NA
NA,1995,3,72,"MM",NA
NA,1997,4,72,"MM",NA
"POVI3",2006,5,72,"MM","Polygonum viviparum"
"CAOC4",2008,6,72,"MM","Castilleja occidentalis"
NA,2010,7,72,"MM",NA
NA,2011,8,72,"MM",NA
"LEPY2",2012,9,72,"MM","Lewisia pygmaea"
"DECE",2012,9,72,"MM","Deschampsia cespitosa"
NA,2013,10,72,"MM",NA
NA,2014,11,72,"MM",NA
NA,2015,12,72,"MM",NA
"POARG",2016,13,72,"MM","Poa arctica ssp. grayana"
"POGLR2",1990,2,73,"MM","Poa glauca ssp. rupicola"
NA,1995,3,73,"MM",NA
NA,1997,4,73,"MM",NA
"CAOC4",2006,5,73,"MM","Castilleja occidentalis"
"ARSC",2006,5,73,"MM","Artemisia scopulorum"
NA,2008,6,73,"MM",NA
NA,2010,7,73,"MM",NA
NA,2011,8,73,"MM",NA
NA,2012,9,73,"MM",NA
NA,2013,10,73,"MM",NA
NA,2014,11,73,"MM",NA
NA,2015,12,73,"MM",NA
"POBI6",2016,13,73,"MM","Polygonum bistortoides"
"PHAL2",1990,2,74,"MM","Phleum alpinum"
NA,1995,3,74,"MM",NA
"FEBR",1997,4,74,"MM","Festuca brachyphylla"
NA,2006,5,74,"MM",NA
NA,2008,6,74,"MM",NA
NA,2010,7,74,"MM",NA
NA,2011,8,74,"MM",NA
NA,2012,9,74,"MM",NA
NA,2013,10,74,"MM",NA
NA,2014,11,74,"MM",NA
"POAL2",2015,12,74,"MM","Poa alpina"
"POGLR2",2016,13,74,"MM","Poa glauca ssp. rupicola"
"TRSP2",2016,13,74,"MM","Trisetum spicatum"
NA,1990,2,75,"MM",NA
NA,1995,3,75,"MM",NA
NA,1997,4,75,"MM",NA
NA,2006,5,75,"MM",NA
"CALA10",2008,6,75,"MM","Carex lachenalii"
"CANI2",2010,7,75,"MM","Carex nigricans"
"ERSI3",2011,8,75,"MM","Erigeron simplex"
NA,2012,9,75,"MM",NA
"ERME2",2013,10,75,"MM","Erigeron melanocephalus"
"SIACS2",2014,11,75,"MM","Silene acaulis var. subacaulescens"
NA,2015,12,75,"MM",NA
NA,2016,13,75,"MM",NA
NA,1990,2,76,"SB",NA
NA,1995,3,76,"SB",NA
"STLO2",1997,4,76,"SB","Stellaria longipes"
"TRSP2",1997,4,76,"SB","Trisetum spicatum"
"CHANA2",1997,4,76,"SB","Chamerion angustifolium ssp. angustifolium"
NA,2006,5,76,"SB",NA
"CALE4",2008,6,76,"SB","Caltha leptosepala"
"CALA10",2008,6,76,"SB","Carex lachenalii"
NA,2010,7,76,"SB",NA
NA,2011,8,76,"SB",NA
NA,2012,9,76,"SB",NA
"POARG",2013,10,76,"SB","Poa arctica ssp. grayana"
NA,2014,11,76,"SB",NA
NA,2015,12,76,"SB",NA
"PHAL2",2016,13,76,"SB","Phleum alpinum"
"ERME2",2016,13,76,"SB","Erigeron melanocephalus"
"VEWO2",2016,13,76,"SB","Veronica wormskjoldii"
"GEROT",1990,2,77,"WM","Geum rossii var. turbinatum"
NA,1995,3,77,"WM",NA
"SAGL",1997,4,77,"WM","Salix glauca"
"PODI2",1997,4,77,"WM","Potentilla diversifolia"
NA,2006,5,77,"WM",NA
NA,2008,6,77,"WM",NA
NA,2010,7,77,"WM",NA
"CALA10",2011,8,77,"WM","Carex lachenalii"
"FEBR",2011,8,77,"WM","Festuca brachyphylla"
"RHIN11",2011,8,77,"WM","Rhodiola integrifolia"
NA,2012,9,77,"WM",NA
"POAL2",2013,10,77,"WM","Poa alpina"
"PEGR2",2014,11,77,"WM","Pedicularis groenlandica"
NA,2015,12,77,"WM",NA
"POARG",2016,13,77,"WM","Poa arctica ssp. grayana"
"MEOB",1990,2,78,"DM","Mertensia oblongifolia"
NA,1995,3,78,"DM",NA
"DRBRC",1997,4,78,"DM","Draba breweri var. cana"
"CARO2",2006,5,78,"DM","Campanula rotundifolia"
"SELA",2008,6,78,"DM","Sedum lanceolatum"
"NOMO2",2010,7,78,"DM","Noccaea montana"
"ERCA14",2011,8,78,"DM","Erysimum capitatum"
"FEBR",2011,8,78,"DM","Festuca brachyphylla"
"STLO2",2011,8,78,"DM","Stellaria longipes"
"CAUN2",2011,8,78,"DM","Campanula uniflora"
"ARSC",2011,8,78,"DM","Artemisia scopulorum"
"ANSE4",2012,9,78,"DM","Androsace septentrionalis"
"MIOB2",2012,9,78,"DM","Minuartia obtusiloba"
"ERSI3",2013,10,78,"DM","Erigeron simplex"
"ELTRT",2013,10,78,"DM","Elymus trachycaulus ssp. trachycaulus"
"SEDES",2014,11,78,"DM","Selaginella densa var. scopulorum"
"SIACS2",2015,12,78,"DM","Silene acaulis var. subacaulescens"
"PHPU5",2015,12,78,"DM","Phlox pulvinata"
"TOPY",2015,12,78,"DM","Tonestus pygmaeus"
NA,2016,13,78,"DM",NA
NA,1990,2,79,"MM",NA
"SANI8",1995,3,79,"MM","Salix nivalis"
NA,1997,4,79,"MM",NA
"LEPY2",2006,5,79,"MM","Lewisia pygmaea"
"POBI6",2006,5,79,"MM","Polygonum bistortoides"
"SELA",2006,5,79,"MM","Sedum lanceolatum"
NA,2008,6,79,"MM",NA
NA,2010,7,79,"MM",NA
"TRDA2",2011,8,79,"MM","Trifolium dasyphyllum"
"ERSI3",2012,9,79,"MM","Erigeron simplex"
"KOMY",2012,9,79,"MM","Kobresia myosuroides"
"LUSP4",2013,10,79,"MM","Luzula spicata"
NA,2014,11,79,"MM",NA
NA,2015,12,79,"MM",NA
"SEDES",2016,13,79,"MM","Selaginella densa var. scopulorum"
NA,1990,2,80,"MM",NA
NA,1995,3,80,"MM",NA
"SAPE18",1997,4,80,"MM","Salix petrophila"
"POBI6",1997,4,80,"MM","Polygonum bistortoides"
NA,2006,5,80,"MM",NA
"DECE",2008,6,80,"MM","Deschampsia cespitosa"
NA,2010,7,80,"MM",NA
NA,2011,8,80,"MM",NA
NA,2012,9,80,"MM",NA
NA,2013,10,80,"MM",NA
"CAOC4",2014,11,80,"MM","Castilleja occidentalis"
"TOPY",2014,11,80,"MM","Tonestus pygmaeus"
"MIRU3",2015,12,80,"MM","Minuartia rubella"
"ERSI3",2016,13,80,"MM","Erigeron simplex"
"ORALA",2016,13,80,"MM","Oreoxis alpina ssp. alpina"
NA,1990,2,801,"DM",NA
NA,1995,3,801,"DM",NA
"PRAN",1997,4,801,"DM","Primula angustifolia"
NA,2006,5,801,"DM",NA
NA,2008,6,801,"DM",NA
"MIOB2",2010,7,801,"DM","Minuartia obtusiloba"
"POBI6",2011,8,801,"DM","Polygonum bistortoides"
"ERSI3",2012,9,801,"DM","Erigeron simplex"
NA,2013,10,801,"DM",NA
"FEBR",2014,11,801,"DM","Festuca brachyphylla"
"CARO2",2015,12,801,"DM","Campanula rotundifolia"
"TOPY",2015,12,801,"DM","Tonestus pygmaeus"
"NOMO2",2016,13,801,"DM","Noccaea montana"
"ARSC",2016,13,801,"DM","Artemisia scopulorum"
