"lost_spp","year","event","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
"LLOSER",2015,14,"5_CAC","Watershed",5,"CAC","A","C","LLSE","Lloydia serotina","forb"
"TRISPI",2003,2,"6_CAC","Lefty",6,"CAC","A","C","TRSP2","Trisetum spicatum","graminoid"
NA,2004,3,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"BISVIV",2005,4,"6_CAC","Lefty",6,"CAC","A","C","POVI3","Polygonum viviparum","forb"
"PHLALP",2005,4,"6_CAC","Lefty",6,"CAC","A","C","PHAL2","Phleum alpinum","graminoid"
"STELON",2005,4,"6_CAC","Lefty",6,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"CASOCC",2006,5,"6_CAC","Lefty",6,"CAC","A","C","CAOC4","Castilleja occidentalis","forb"
"GENALG",2006,5,"6_CAC","Lefty",6,"CAC","A","C","GEAL2","Gentiana algida","forb"
NA,2007,6,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,2008,7,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,2009,8,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,2010,9,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"POAGLA",2011,10,"6_CAC","Lefty",6,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"TRIPAR",2012,11,"6_CAC","Lefty",6,"CAC","A","C","TRPAP","Trifolium parryi ssp. parryi","forb"
NA,2013,12,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"LEWPYG",2014,13,"6_CAC","Lefty",6,"CAC","A","C","LEPY2","Lewisia pygmaea","forb"
NA,2015,14,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"ERISIM",2003,2,"7_CAC","Subalpine",7,"CAC","A","C","ERSI3","Erigeron simplex","forb"
NA,2004,3,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
"CARSCO",2005,4,"7_CAC","Subalpine",7,"CAC","A","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2006,5,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
"AREFEN",2007,6,"7_CAC","Subalpine",7,"CAC","A","C","ARFE3","Arenaria fendleri","forb"
NA,2008,7,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,2009,8,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,2010,9,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,2011,10,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,2012,11,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,2013,12,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,2014,13,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
"STELON",2015,14,"7_CAC","Subalpine",7,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2003,2,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
"ERISIM",2004,3,"1_CAN","Longs",1,"CAN","A","N","ERSI3","Erigeron simplex","forb"
NA,2005,4,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2006,5,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2007,6,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
"LLOSER",2008,7,"1_CAN","Longs",1,"CAN","A","N","LLSE","Lloydia serotina","forb"
NA,2009,8,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2010,9,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2011,10,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2012,11,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2013,12,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2014,13,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2015,14,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
NA,2016,15,"1_CAN","Longs",1,"CAN","A","N",NA,NA,NA
"STELON",2017,16,"1_CAN","Longs",1,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
"CASOCC",2018,17,"1_CAN","Longs",1,"CAN","A","N","CAOC4","Castilleja occidentalis","forb"
"DRACRA2",2018,17,"1_CAN","Longs",1,"CAN","A","N","DRCR2","Draba crassifolia","forb"
"RHOINT",2018,17,"1_CAN","Longs",1,"CAN","A","N","RHIN11","Rhodiola integrifolia","forb"
"STEUMB",2018,17,"1_CAN","Longs",1,"CAN","A","N","STUM","Stellaria umbellata","forb"
NA,2003,2,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2004,3,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2005,4,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2006,5,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
"AREFEN",2007,6,"2_CAN","Edge",2,"CAN","A","N","ARFE3","Arenaria fendleri","forb"
"BISVIV",2007,6,"2_CAN","Edge",2,"CAN","A","N","POVI3","Polygonum viviparum","forb"
NA,2008,7,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2009,8,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2010,9,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2011,10,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2012,11,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2014,12,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2015,13,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2016,14,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2017,15,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
NA,2018,16,"2_CAN","Edge",2,"CAN","A","N",NA,NA,NA
"POTDIV",2003,2,"3_CAN","Edge",3,"CAN","A","N","PODI2","Potentilla diversifolia","forb"
NA,2004,3,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2005,4,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
"LLOSER",2006,5,"3_CAN","Edge",3,"CAN","A","N","LLSE","Lloydia serotina","forb"
NA,2007,6,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2008,7,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
"CARSCO",2009,8,"3_CAN","Edge",3,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"CASOCC",2010,9,"3_CAN","Edge",3,"CAN","A","N","CAOC4","Castilleja occidentalis","forb"
NA,2011,10,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2012,11,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2013,12,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2014,13,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2015,14,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2016,15,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2017,16,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
NA,2018,17,"3_CAN","Edge",3,"CAN","A","N",NA,NA,NA
"SIBPRO",2003,2,"4_CAN","Tundra Lab",4,"CAN","A","N","SIPR","Sibbaldia procumbens","forb"
"CALLEP",2004,3,"4_CAN","Tundra Lab",4,"CAN","A","N","CALE4","Caltha leptosepala","forb"
"CASOCC",2004,3,"4_CAN","Tundra Lab",4,"CAN","A","N","CAOC4","Castilleja occidentalis","forb"
"BISVIV",2005,4,"4_CAN","Tundra Lab",4,"CAN","A","N","POVI3","Polygonum viviparum","forb"
"ERISIM",2005,4,"4_CAN","Tundra Lab",4,"CAN","A","N","ERSI3","Erigeron simplex","forb"
NA,2006,5,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
"PHLALP",2007,6,"4_CAN","Tundra Lab",4,"CAN","A","N","PHAL2","Phleum alpinum","graminoid"
"STELON",2007,6,"4_CAN","Tundra Lab",4,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2008,7,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,2009,8,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,2010,9,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,2011,10,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,2012,11,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
NA,2013,12,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
"CARSCO",2014,13,"4_CAN","Tundra Lab",4,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
