"lost_spp","year","event","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
"FESBRA",2014,13,"5_CAX","Watershed",5,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
NA,2015,14,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2016,15,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2017,16,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"CHIJAM",2018,17,"5_CAX","Watershed",5,"CAX","A","X","CHJA","Chionophila jamesii","forb"
NA,2003,2,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
NA,2004,3,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"STELON",2005,4,"6_CAX","Lefty",6,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
NA,2007,6,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"CASOCC",2008,7,"6_CAX","Lefty",6,"CAX","A","X","CAOC4","Castilleja occidentalis","forb"
"CHIJAM",2008,7,"6_CAX","Lefty",6,"CAX","A","X","CHJA","Chionophila jamesii","forb"
NA,2009,8,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"POAGLA",2010,9,"6_CAX","Lefty",6,"CAX","A","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2011,10,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
NA,2012,11,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
NA,2013,12,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"BISVIV",2014,13,"6_CAX","Lefty",6,"CAX","A","X","POVI3","Polygonum viviparum","forb"
"GENAMA",2014,13,"6_CAX","Lefty",6,"CAX","A","X","GEAM3","Gentianella amarella","forb"
"TRIPAR",2015,14,"6_CAX","Lefty",6,"CAX","A","X","TRPAP","Trifolium parryi ssp. parryi","forb"
"ERIMEL",2016,15,"6_CAX","Lefty",6,"CAX","A","X","ERME2","Erigeron melanocephalus","forb"
NA,2017,16,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"DANINT",2018,17,"6_CAX","Lefty",6,"CAX","A","X","DAIN","Danthonia intermedia","graminoid"
NA,2003,2,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
"ALLGEY",2004,3,"7_CAX","Subalpine",7,"CAX","A","X","ALGE","Allium geyeri","forb"
"BISVIV",2004,3,"7_CAX","Subalpine",7,"CAX","A","X","POVI3","Polygonum viviparum","forb"
NA,2005,4,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2006,5,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2007,6,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2008,7,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2009,8,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
"STELON",2010,9,"7_CAX","Subalpine",7,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2011,10,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
"PHLALP",2012,11,"7_CAX","Subalpine",7,"CAX","A","X","PHAL2","Phleum alpinum","graminoid"
NA,2013,12,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2014,13,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2015,14,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
"SEDLAN",2016,15,"7_CAX","Subalpine",7,"CAX","A","X","SELA","Sedum lanceolatum","forb"
NA,2017,16,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2018,17,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,2003,2,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2004,3,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2005,4,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
"AREFEN",2006,5,"1_CBX","Longs",1,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2008,7,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2009,8,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2010,9,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2011,10,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2012,11,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2013,12,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
"POAALP",2014,13,"1_CBX","Longs",1,"CBX","B","X","POAL2","Poa alpina","graminoid"
"POAGLA",2014,13,"1_CBX","Longs",1,"CBX","B","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
"CASOCC",2015,14,"1_CBX","Longs",1,"CBX","B","X","CAOC4","Castilleja occidentalis","forb"
NA,2016,15,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,2017,16,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
"TRISPI",2018,17,"1_CBX","Longs",1,"CBX","B","X","TRSP2","Trisetum spicatum","graminoid"
NA,2003,2,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2004,3,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2005,4,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"AREFEN",2006,5,"2_CBX","Edge",2,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2008,7,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2009,8,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2010,9,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"CASOCC",2011,10,"2_CBX","Edge",2,"CBX","B","X","CAOC4","Castilleja occidentalis","forb"
NA,2012,11,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2013,12,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2014,13,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2015,14,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2016,15,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,2017,16,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"LEWPYG",2018,17,"2_CBX","Edge",2,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
"BISVIV",2003,2,"3_CBX","Edge",3,"CBX","B","X","POVI3","Polygonum viviparum","forb"
"ERISIM",2003,2,"3_CBX","Edge",3,"CBX","B","X","ERSI3","Erigeron simplex","forb"
NA,2004,3,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,2005,4,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"AREFEN",2006,5,"3_CBX","Edge",3,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"LEWPYG",2008,7,"3_CBX","Edge",3,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
NA,2009,8,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"LLOSER",2010,9,"3_CBX","Edge",3,"CBX","B","X","LLSE","Lloydia serotina","forb"
NA,2011,10,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,2012,11,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,2013,12,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,2014,13,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,2015,14,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,2016,15,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"SALIX_SP1",2017,16,"3_CBX","Edge",3,"CBX","B","X","SALIX","Salix","shrub, subshrub"
"POTDIV",2018,17,"3_CBX","Edge",3,"CBX","B","X","PODI2","Potentilla diversifolia","forb"
"SAXRHO",2018,17,"3_CBX","Edge",3,"CBX","B","X","SARH2","Saxifraga rhomboidea","forb"
NA,2003,2,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"BISVIV",2004,3,"4_CBX","Tundra Lab",4,"CBX","B","X","POVI3","Polygonum viviparum","forb"
"ERIPIN",2004,3,"4_CBX","Tundra Lab",4,"CBX","B","X","ERPI6","Erigeron pinnatisectus","forb"
"STELON",2005,4,"4_CBX","Tundra Lab",4,"CBX","B","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"PHLALP",2007,6,"4_CBX","Tundra Lab",4,"CBX","B","X","PHAL2","Phleum alpinum","graminoid"
"AREFEN",2008,7,"4_CBX","Tundra Lab",4,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
"POTDIV",2009,8,"4_CBX","Tundra Lab",4,"CBX","B","X","PODI2","Potentilla diversifolia","forb"
"RHOINT",2010,9,"4_CBX","Tundra Lab",4,"CBX","B","X","RHIN11","Rhodiola integrifolia","forb"
NA,2011,10,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
NA,2012,11,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
NA,2013,12,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"CARSCO",2014,13,"4_CBX","Tundra Lab",4,"CBX","B","X","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
NA,2016,15,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"CASOCC",2017,16,"4_CBX","Tundra Lab",4,"CBX","B","X","CAOC4","Castilleja occidentalis","forb"
NA,2018,17,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"CARSCO",2003,2,"5_CBX","Watershed",5,"CBX","B","X","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2004,3,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
"BISVIV",2005,4,"5_CBX","Watershed",5,"CBX","B","X","POVI3","Polygonum viviparum","forb"
"CHIJAM",2005,4,"5_CBX","Watershed",5,"CBX","B","X","CHJA","Chionophila jamesii","forb"
"PEDGRO",2005,4,"5_CBX","Watershed",5,"CBX","B","X","PEGR2","Pedicularis groenlandica","forb"
NA,2006,5,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2007,6,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2008,7,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2009,8,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2010,9,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2011,10,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2012,11,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2013,12,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2014,13,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2015,14,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2016,15,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2017,16,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
"CAMROT",2018,17,"5_CBX","Watershed",5,"CBX","B","X","CARO2","Campanula rotundifolia","forb"
"BISVIV",2003,2,"6_CBX","Lefty",6,"CBX","B","X","POVI3","Polygonum viviparum","forb"
NA,2004,3,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"STELON",2005,4,"6_CBX","Lefty",6,"CBX","B","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,2007,6,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"CASOCC",2008,7,"6_CBX","Lefty",6,"CBX","B","X","CAOC4","Castilleja occidentalis","forb"
NA,2009,8,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,2010,9,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"AREFEN",2011,10,"6_CBX","Lefty",6,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
"POAGLA",2011,10,"6_CBX","Lefty",6,"CBX","B","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2012,11,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,2013,12,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,2014,13,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,2015,14,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"TRISPI",2016,15,"6_CBX","Lefty",6,"CBX","B","X","TRSP2","Trisetum spicatum","graminoid"
NA,2017,16,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"GENAMA",2018,17,"6_CBX","Lefty",6,"CBX","B","X","GEAM3","Gentianella amarella","forb"
NA,2003,2,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"MERLAN",2004,3,"7_CBX","Subalpine",7,"CBX","B","X","MELA3","Mertensia lanceolata","forb"
"STELON",2005,4,"7_CBX","Subalpine",7,"CBX","B","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,2007,6,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"RHOINT",2008,7,"7_CBX","Subalpine",7,"CBX","B","X","RHIN11","Rhodiola integrifolia","forb"
NA,2009,8,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,2010,9,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"LUZSPI",2011,10,"7_CBX","Subalpine",7,"CBX","B","X","LUSP4","Luzula spicata","graminoid"
NA,2012,11,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,2013,12,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,2014,13,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"RHORHO",2015,14,"7_CBX","Subalpine",7,"CBX","B","X","RHRH4","Rhodiola rhodantha","forb"
"FESBRA",2016,15,"7_CBX","Subalpine",7,"CBX","B","X","FEBR","Festuca brachyphylla","graminoid"
"ARTSCO",2017,16,"7_CBX","Subalpine",7,"CBX","B","X","ARSC","Artemisia scopulorum","forb"
NA,2018,17,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,2003,2,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"ERISIM",2004,3,"1_CDC","Longs",1,"CDC","D","C","ERSI3","Erigeron simplex","forb"
"BISVIV",2005,4,"1_CDC","Longs",1,"CDC","D","C","POVI3","Polygonum viviparum","forb"
"RHOINT",2005,4,"1_CDC","Longs",1,"CDC","D","C","RHIN11","Rhodiola integrifolia","forb"
"RHORHO",2005,4,"1_CDC","Longs",1,"CDC","D","C","RHRH4","Rhodiola rhodantha","forb"
"AREFEN",2006,5,"1_CDC","Longs",1,"CDC","D","C","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,2008,7,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,2009,8,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"CASOCC",2010,9,"1_CDC","Longs",1,"CDC","D","C","CAOC4","Castilleja occidentalis","forb"
NA,2011,10,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,2012,11,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,2013,12,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"POAGLA",2014,13,"1_CDC","Longs",1,"CDC","D","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"CHIJAM",2015,14,"1_CDC","Longs",1,"CDC","D","C","CHJA","Chionophila jamesii","forb"
"MERLAN",2015,14,"1_CDC","Longs",1,"CDC","D","C","MELA3","Mertensia lanceolata","forb"
NA,2003,2,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"CALLEP",2004,3,"2_CDC","Edge",2,"CDC","D","C","CALE4","Caltha leptosepala","forb"
"GENPRO",2004,3,"2_CDC","Edge",2,"CDC","D","C","GEPR3","Gentiana prostrata","forb"
"RHORHO",2005,4,"2_CDC","Edge",2,"CDC","D","C","RHRH4","Rhodiola rhodantha","forb"
NA,2006,5,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"AREFEN",2007,6,"2_CDC","Edge",2,"CDC","D","C","ARFE3","Arenaria fendleri","forb"
"PHLALP",2007,6,"2_CDC","Edge",2,"CDC","D","C","PHAL2","Phleum alpinum","graminoid"
NA,2008,7,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"POAALP",2009,8,"2_CDC","Edge",2,"CDC","D","C","POAL2","Poa alpina","graminoid"
"STELON",2009,8,"2_CDC","Edge",2,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2010,9,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,2011,10,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"POTDIV",2012,11,"2_CDC","Edge",2,"CDC","D","C","PODI2","Potentilla diversifolia","forb"
"LLOSER",2013,12,"2_CDC","Edge",2,"CDC","D","C","LLSE","Lloydia serotina","forb"
"RHOINT",2014,13,"2_CDC","Edge",2,"CDC","D","C","RHIN11","Rhodiola integrifolia","forb"
NA,2015,14,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"RHOINT",2003,2,"3_CDC","Edge",3,"CDC","D","C","RHIN11","Rhodiola integrifolia","forb"
"BISVIV",2004,3,"3_CDC","Edge",3,"CDC","D","C","POVI3","Polygonum viviparum","forb"
NA,2005,4,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2006,5,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2007,6,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
"TRISPI",2008,7,"3_CDC","Edge",3,"CDC","D","C","TRSP2","Trisetum spicatum","graminoid"
NA,2009,8,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2010,9,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2011,10,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2012,11,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2013,12,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
"CHIJAM",2014,13,"3_CDC","Edge",3,"CDC","D","C","CHJA","Chionophila jamesii","forb"
NA,2015,14,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,2003,2,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2004,3,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
"STELON",2005,4,"4_CDC","Tundra Lab",4,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2007,6,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2008,7,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2009,8,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2010,9,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2011,10,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2012,11,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2013,12,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
"CARSCO",2014,13,"4_CDC","Tundra Lab",4,"CDC","D","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,2003,2,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
"LEWPYG",2004,3,"5_CDC","Watershed",5,"CDC","D","C","LEPY2","Lewisia pygmaea","forb"
"CHIJAM",2005,4,"5_CDC","Watershed",5,"CDC","D","C","CHJA","Chionophila jamesii","forb"
"POAGLA",2005,4,"5_CDC","Watershed",5,"CDC","D","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"RHORHO",2005,4,"5_CDC","Watershed",5,"CDC","D","C","RHRH4","Rhodiola rhodantha","forb"
NA,2006,5,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
"ALLGEY",2007,6,"5_CDC","Watershed",5,"CDC","D","C","ALGE","Allium geyeri","forb"
"STELON",2007,6,"5_CDC","Watershed",5,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"RHOINT",2008,7,"5_CDC","Watershed",5,"CDC","D","C","RHIN11","Rhodiola integrifolia","forb"
"SAXRHO",2008,7,"5_CDC","Watershed",5,"CDC","D","C","SARH2","Saxifraga rhomboidea","forb"
NA,2009,8,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,2010,9,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,2011,10,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,2012,11,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
"CASOCC",2013,12,"5_CDC","Watershed",5,"CDC","D","C","CAOC4","Castilleja occidentalis","forb"
NA,2014,13,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,2015,14,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,2003,2,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2004,3,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
"STELON",2005,4,"6_CDC","Lefty",6,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2007,6,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
"BISVIV",2008,7,"6_CDC","Lefty",6,"CDC","D","C","POVI3","Polygonum viviparum","forb"
NA,2009,8,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2010,9,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
"CASOCC",2011,10,"6_CDC","Lefty",6,"CDC","D","C","CAOC4","Castilleja occidentalis","forb"
NA,2012,11,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2013,12,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2014,13,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2015,14,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,2003,2,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
NA,2004,3,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
"BISVIV",2005,4,"7_CDC","Subalpine",7,"CDC","D","C","POVI3","Polygonum viviparum","forb"
"STELON",2006,5,"7_CDC","Subalpine",7,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2007,6,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
NA,2008,7,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
NA,2009,8,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
NA,2010,9,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
NA,2011,10,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
NA,2012,11,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
"CARSCO",2013,12,"7_CDC","Subalpine",7,"CDC","D","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"LLOSER",2013,12,"7_CDC","Subalpine",7,"CDC","D","C","LLSE","Lloydia serotina","forb"
"POAALP",2013,12,"7_CDC","Subalpine",7,"CDC","D","C","POAL2","Poa alpina","graminoid"
"TRIPAR",2014,13,"7_CDC","Subalpine",7,"CDC","D","C","TRPAP","Trifolium parryi ssp. parryi","forb"
NA,2015,14,"7_CDC","Subalpine",7,"CDC","D","C",NA,NA,NA
"GENALG",2003,2,"1_CDN","Longs",1,"CDN","D","N","GEAL2","Gentiana algida","forb"
NA,2004,3,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2005,4,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
"AREFEN",2006,5,"1_CDN","Longs",1,"CDN","D","N","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2008,7,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2009,8,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2010,9,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2011,10,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
"BISBIS",2012,11,"1_CDN","Longs",1,"CDN","D","N","POBI6","Polygonum bistortoides","forb"
NA,2013,12,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2014,13,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
NA,2015,14,"1_CDN","Longs",1,"CDN","D","N",NA,NA,NA
"LLOSER",2016,15,"1_CDN","Longs",1,"CDN","D","N","LLSE","Lloydia serotina","forb"
"POAGLA",2017,16,"1_CDN","Longs",1,"CDN","D","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
"LUZSPI",2018,17,"1_CDN","Longs",1,"CDN","D","N","LUSP4","Luzula spicata","graminoid"
"TRISPI",2018,17,"1_CDN","Longs",1,"CDN","D","N","TRSP2","Trisetum spicatum","graminoid"
NA,2003,2,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
"BISVIV",2004,3,"2_CDN","Edge",2,"CDN","D","N","POVI3","Polygonum viviparum","forb"
"ERISIM",2004,3,"2_CDN","Edge",2,"CDN","D","N","ERSI3","Erigeron simplex","forb"
"LLOSER",2004,3,"2_CDN","Edge",2,"CDN","D","N","LLSE","Lloydia serotina","forb"
NA,2005,4,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
"AREFEN",2006,5,"2_CDN","Edge",2,"CDN","D","N","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2008,7,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2009,8,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2010,9,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2011,10,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
"GENALG",2012,11,"2_CDN","Edge",2,"CDN","D","N","GEAL2","Gentiana algida","forb"
NA,2013,12,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2014,13,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2015,14,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
"CALLEP",2016,15,"2_CDN","Edge",2,"CDN","D","N","CALE4","Caltha leptosepala","forb"
NA,2017,16,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2018,17,"2_CDN","Edge",2,"CDN","D","N",NA,NA,NA
NA,2003,2,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2004,3,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2005,4,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2006,5,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
