"spp_gains","type","year","event","USDA_name"
"POARG","FF",2011,8,"Poa arctica ssp. grayana"
"ARPA18","FF",2012,9,"Artemisia pattersonii"
"DRST4","FF",2013,10,"Draba streptocarpa"
"HEMO3","FF",2013,10,"Helictotrichon mortonianum"
NA,"FF",2014,11,NA
"MIRU3","FF",2015,12,"Minuartia rubella"
NA,"FF",2016,13,NA
"CASCS2","SF",1990,2,"Carex scopulorum var. scopulorum"
"ERSI3","SF",1990,2,"Erigeron simplex"
"ERPI6","SF",1995,3,"Erigeron pinnatisectus"
"ORALA","SF",1995,3,"Oreoxis alpina ssp. alpina"
"TRSP2","SF",1995,3,"Trisetum spicatum"
"LLSE","SF",1997,4,"Lloydia serotina"
"NOMO2","SF",1997,4,"Noccaea montana"
"POARG","SF",1997,4,"Poa arctica ssp. grayana"
"STLO2","SF",1997,4,"Stellaria longipes"
"CAOC4","SF",2006,5,"Castilleja occidentalis"
"CEARS2","SF",2006,5,"Cerastium arvense ssp. strictum"
"SARH2","SF",2008,6,"Saxifraga rhomboidea"
"MIOB2","SF",2010,7,"Minuartia obtusiloba"
"SELA","SF",2010,7,"Sedum lanceolatum"
NA,"SF",2011,8,NA
NA,"SF",2012,9,NA
"POAL2","SF",2013,10,"Poa alpina"
NA,"SF",2014,11,NA
NA,"SF",2015,12,NA
NA,"SF",2016,13,NA
NA,"ST",1990,2,NA
"ERSI3","ST",1996,3,"Erigeron simplex"
"ARSC","ST",1997,4,"Artemisia scopulorum"
"CASCS2","ST",1997,4,"Carex scopulorum var. scopulorum"
"FEBR","ST",1997,4,"Festuca brachyphylla"
"PODI2","ST",1997,4,"Potentilla diversifolia"
"RHIN11","ST",1997,4,"Rhodiola integrifolia"
"STLO2","ST",1997,4,"Stellaria longipes"
"MELA3","ST",2006,5,"Mertensia lanceolata"
"TRPAP","ST",2006,5,"Trifolium parryi ssp. parryi"
"DECE","ST",2008,6,"Deschampsia cespitosa"
"POARG","ST",2010,7,"Poa arctica ssp. grayana"
NA,"ST",2011,8,NA
NA,"ST",2012,9,NA
NA,"ST",2013,10,NA
NA,"ST",2014,11,NA
"SAGL","ST",2015,12,"Salix glauca"
"GEAL2","ST",2016,13,"Gentiana algida"
