"spp_gains","event","year","plot","type","USDA_name"
"CAPY3",4,1997,76,"SB","Carex pyrenaica"
"CALE4",5,2006,76,"SB","Caltha leptosepala"
"ANME2",5,2006,76,"SB","Antennaria media"
"PEGR2",5,2006,76,"SB","Pedicularis groenlandica"
"CALA10",5,2006,76,"SB","Carex lachenalii"
"POAL2",6,2008,76,"SB","Poa alpina"
"CASCS2",6,2008,76,"SB","Carex scopulorum var. scopulorum"
"ERME2",7,2010,76,"SB","Erigeron melanocephalus"
"OXDI3",7,2010,76,"SB","Oxyria digyna"
NA,8,2011,76,"SB",NA
"PACR5",9,2012,76,"SB","Packera crocata"
"EPAN4",10,2013,76,"SB","Epilobium anagallidifolium"
NA,11,2014,76,"SB",NA
"PHAL2",12,2015,76,"SB","Phleum alpinum"
"VEWO2",12,2015,76,"SB","Veronica wormskjoldii"
"MIOB2",13,2016,76,"SB","Minuartia obtusiloba"
"SAPE18",2,1990,77,"WM","Salix petrophila"
"RHRH4",2,1990,77,"WM","Rhodiola rhodantha"
"POBI6",2,1990,77,"WM","Polygonum bistortoides"
"SAGL",3,1995,77,"WM","Salix glauca"
"PODI2",3,1995,77,"WM","Potentilla diversifolia"
"POVI3",4,1997,77,"WM","Polygonum viviparum"
NA,5,2006,77,"WM",NA
"FEBR",6,2008,77,"WM","Festuca brachyphylla"
"CALA10",7,2010,77,"WM","Carex lachenalii"
NA,8,2011,77,"WM",NA
"POAL2",9,2012,77,"WM","Poa alpina"
"PEGR2",10,2013,77,"WM","Pedicularis groenlandica"
NA,11,2014,77,"WM",NA
"POARG",12,2015,77,"WM","Poa arctica ssp. grayana"
NA,13,2016,77,"WM",NA
"TEGR3",2,1990,78,"DM","Tetraneuris grandiflora"
"LLSE",2,1990,78,"DM","Lloydia serotina"
"ARSC",3,1995,78,"DM","Artemisia scopulorum"
"MELA3",3,1995,78,"DM","Mertensia lanceolata"
"CAUN2",3,1995,78,"DM","Campanula uniflora"
"DRBRC",3,1995,78,"DM","Draba breweri var. cana"
"NOMO2",4,1997,78,"DM","Noccaea montana"
"SIACS2",4,1997,78,"DM","Silene acaulis var. subacaulescens"
"CARO2",4,1997,78,"DM","Campanula rotundifolia"
"MIOB2",5,2006,78,"DM","Minuartia obtusiloba"
"TRSP2",5,2006,78,"DM","Trisetum spicatum"
"SELA",5,2006,78,"DM","Sedum lanceolatum"
"ELTRT",5,2006,78,"DM","Elymus trachycaulus ssp. trachycaulus"
"ERSI3",5,2006,78,"DM","Erigeron simplex"
"FEBR",5,2006,78,"DM","Festuca brachyphylla"
NA,6,2008,78,"DM",NA
"ERCA14",7,2010,78,"DM","Erysimum capitatum"
"STLO2",7,2010,78,"DM","Stellaria longipes"
"ANSE4",8,2011,78,"DM","Androsace septentrionalis"
"TRPAP",8,2011,78,"DM","Trifolium parryi ssp. parryi"
NA,9,2012,78,"DM",NA
"SEDES",10,2013,78,"DM","Selaginella densa var. scopulorum"
"CAHEE",11,2014,78,"DM","Carex heteroneura var. epapillosa"
"TOPY",11,2014,78,"DM","Tonestus pygmaeus"
NA,12,2015,78,"DM",NA
"SIPR",13,2016,78,"DM","Sibbaldia procumbens"
"HEMO3",13,2016,78,"DM","Helictotrichon mortonianum"
"MIOB2",2,1990,79,"MM","Minuartia obtusiloba"
"SANI8",2,1990,79,"MM","Salix nivalis"
"SELA",2,1990,79,"MM","Sedum lanceolatum"
"GEAL2",2,1990,79,"MM","Gentiana algida"
"POBI6",2,1990,79,"MM","Polygonum bistortoides"
NA,3,1995,79,"MM",NA
NA,4,1997,79,"MM",NA
"POARG",5,2006,79,"MM","Poa arctica ssp. grayana"
"FEBR",5,2006,79,"MM","Festuca brachyphylla"
"ERSI3",5,2006,79,"MM","Erigeron simplex"
"TRDA2",6,2008,79,"MM","Trifolium dasyphyllum"
"LUSP4",7,2010,79,"MM","Luzula spicata"
NA,8,2011,79,"MM",NA
NA,9,2012,79,"MM",NA
"ARFEF3",10,2013,79,"MM","Arenaria fendleri var. fendleri"
NA,11,2014,79,"MM",NA
"SEDES",12,2015,79,"MM","Selaginella densa var. scopulorum"
NA,13,2016,79,"MM",NA
"POBI6",2,1990,80,"MM","Polygonum bistortoides"
"ORALA",2,1990,80,"MM","Oreoxis alpina ssp. alpina"
"GEAL2",2,1990,80,"MM","Gentiana algida"
"KOMY",2,1990,80,"MM","Kobresia myosuroides"
"SAPE18",3,1995,80,"MM","Salix petrophila"
"CHJA",3,1995,80,"MM","Chionophila jamesii"
"ERSI3",4,1997,80,"MM","Erigeron simplex"
"CAOC4",5,2006,80,"MM","Castilleja occidentalis"
"FEBR",5,2006,80,"MM","Festuca brachyphylla"
"DECE",5,2006,80,"MM","Deschampsia cespitosa"
"SOSIN",5,2006,80,"MM","Solidago simplex ssp. simplex var. nana"
"SELA",6,2008,80,"MM","Sedum lanceolatum"
NA,7,2010,80,"MM",NA
NA,8,2011,80,"MM",NA
NA,9,2012,80,"MM",NA
"TOPY",10,2013,80,"MM","Tonestus pygmaeus"
"MIRU3",11,2014,80,"MM","Minuartia rubella"
NA,12,2015,80,"MM",NA
"CASCS2",13,2016,80,"MM","Carex scopulorum var. scopulorum"
"POBI6",2,1990,801,"DM","Polygonum bistortoides"
"SEDES",2,1990,801,"DM","Selaginella densa var. scopulorum"
"CAUN2",2,1990,801,"DM","Campanula uniflora"
"ARSC",2,1990,801,"DM","Artemisia scopulorum"
"SIACS2",2,1990,801,"DM","Silene acaulis var. subacaulescens"
"PRAN",3,1995,801,"DM","Primula angustifolia"
"ERSI3",4,1997,801,"DM","Erigeron simplex"
"SAGL",4,1997,801,"DM","Salix glauca"
"ORALA",5,2006,801,"DM","Oreoxis alpina ssp. alpina"
"CARO2",5,2006,801,"DM","Campanula rotundifolia"
"MIOB2",6,2008,801,"DM","Minuartia obtusiloba"
NA,7,2010,801,"DM",NA
"NOMO2",8,2011,801,"DM","Noccaea montana"
NA,9,2012,801,"DM",NA
"FEBR",10,2013,801,"DM","Festuca brachyphylla"
"TOPY",11,2014,801,"DM","Tonestus pygmaeus"
NA,12,2015,801,"DM",NA
NA,13,2016,801,"DM",NA
