sumallPC1,sumallPC2,site
-1.30699420296398,0.133900591025281,1982
-1.25172250698153,-0.101982219296936,1983
-1.12770173002523,-0.749083728546874,1984
-0.272171436885506,1.5326021517556,1985
-0.759811255909365,0.40971216914399,1986
0.403125388007827,0.59670516769347,1987
0.661178817445262,1.30689954167107,1988
-0.377986654552111,1.35934639094963,1989
0.0723103172376101,-0.237680658270443,1990
-0.572787945640182,-0.213188398689548,1991
-0.871635215119348,0.983572075979578,1992
-1.13371276551062,1.21793128657121,1993
0.0415116270832467,0.502371984397838,1994
-0.845277820515154,-0.536506064816402,1995
0.0566926444286456,0.705569931591243,1996
-0.470491049199549,-0.40823197962312,1997
-0.893731999207868,-0.818218848815137,1998
-0.695990189192713,-1.36820547228257,1999
0.411824937654323,0.0714464398048779,2000
0.240089707028132,-0.623327324802944,2001
1.17898959637725,0.300366223574763,2002
0.444172308478127,-0.214588140818199,2003
-0.077480067383613,-0.329573996432937,2004
0.294237222438626,-0.243809634510572,2005
0.708968645838445,-0.000282106366141751,2006
0.564655470095861,-0.337492434105404,2007
0.108127426083098,-0.580973273137338,2008
-0.100497312101286,0.123859873557558,2009
0.575767594316379,-0.283536686066089,2010
0.0895748221596368,-1.56011927481311,2011
1.14195328581925,-0.699761217271837,2012
0.652582026086224,-0.527095312371131,2013
0.0196937728151761,-0.197504919179929,2014
0.69985088895986,0.120473426173854,2015
0.665573797272971,0.167982852647254,2016
0.537576591702207,0.125702652249104,2017
1.18953526385989,0.372718931430338,2018
