sumallPC1,sumallPC2,site
-1.71923670201262,-1.05356142957707,1982
-1.50185348721258,0.0500656025281581,1983
0.159622840935546,-1.45654989303969,1985
-0.23982752408564,-0.319955835822399,1986
0.374278165714723,0.516639056637387,1987
1.31748900768536,-0.385386715387005,1988
-0.566749601070849,0.119977372819602,1989
-0.0104652772355221,0.369231195993748,1990
0.0402581188210163,0.475802206329298,1991
-0.717000519461112,0.924923707706071,1992
-0.393743892577326,-1.45685938109034,1993
1.04526600863525,0.0594544602073726,1994
-1.2165086086892,-1.14172119991945,1995
0.667033167925502,-1.59339955829219,1996
-0.00302348108565181,0.417765801298373,1997
-0.733487922703343,0.927739119638374,1998
-0.36669100424718,0.891895670275798,1999
0.724782137290255,-0.185424174010761,2000
0.0266627269064171,0.85739289865172,2001
1.13472305580726,-0.127786050033476,2002
0.0934202958938979,0.91856423794643,2003
-0.524094034446767,0.985949757305367,2004
-0.211517320438476,0.0884745293297585,2005
0.571007528290875,-0.0851346776997881,2006
0.911160193926258,0.36191520153709,2007
0.315254439054403,0.125871411620026,2008
0.406702344668969,-0.12835128460899,2009
0.416539343710526,-0.157532030343397,2010
