year,season,GDDsum
1982,sum,164
1983,sum,197.5
1984,sum,149.5
1985,sum,287.20305454
1986,sum,296
1987,sum,355.5
1988,sum,489
1989,sum,302.5
1990,sum,383
1991,sum,345.5
1992,sum,231
1993,sum,313
1994,sum,504
1995,sum,298.5
1996,sum,403
1997,sum,360.4495157905
1998,sum,346
1999,sum,326.5
2000,sum,406.5
2001,sum,381.9045852965
2002,sum,464.830088025
2003,sum,366.5
2004,sum,241.5
2005,sum,358.842291123
2006,sum,352.137583267
2007,sum,569
2008,sum,502.5
2009,sum,442.5
2010,sum,444.7073387135
