year,GDD
1982,177.5
1983,235
1984,181
1985,319.20305454
1986,335
1987,462
1988,603
1989,424.114810366
1990,495.5
1991,446.610820981
1992,358.5
1993,387.5
1994,604
1995,352
1996,491.5
1997,473.4512643455
1998,467.01076856
1999,409.5
2000,534
2001,491.8779253315
2002,547.830088025
2003,464.8255137985
2004,310
2005,475.901594105
2006,436.137583267
2007,748
2008,644
2009,583.5
2010,597.9436693925
