year,fivedayrunning
1982,112
1983,87
1984,73
1985,87
1986,63
1987,48
1988,45
1989,51
1990,82
1991,69
1992,58
1993,75
1994,49
1995,104
1996,66
1997,69
1998,79
1999,80
2000,62
2001,58
2002,78
2003,42
2004,65
2005,46
2006,45
2007,58
2008,78
2009,54
2010,83
