year,fivedayrunning
1982,73
1983,68
1984,NA
1985,38
1986,48
1987,44
1988,35
1989,48
1990,36
1991,42
1992,51
1993,45
1994,44
1995,68
1996,39
1997,34
1998,55
1999,51
2000,29
2001,39
2002,30
2003,27
2004,36
2005,48
2006,34
2007,44
2008,46
2009,51
2010,36
