water_year,fal_maxT,spr_maxT,sum_maxT,wnt_maxT
1982,-0.879120879120879,-6.42391304347826,7.71739130434783,-12.352169251
1983,-3.46677730679121,-7.3817705001413,8.55434782608696,-9.96590956516667
1984,-1.35164835164835,-5.83236537608696,7.82608695652174,-13.0549450549451
1985,-4.56043956043956,-4.42391304347826,10.8087620552174,-13.8444444444444
1986,-2.21978021978022,-2.19565217391304,10.9565217391304,-8.7
1987,0.0879120879120879,-0.41304347826087,12.1521739130435,-8.12222222222222
1988,2.17582417582418,-1.34782608695652,14.3478260869565,-10.956043956044
1989,0.648351648351648,-0.771739130434783,10.8152173913043,-9.86055096488889
1990,1.74896729735165,-1.52416374083696,12.5978260869565,-10.2555555555556
1991,2.37613840508791,-2.06374411721739,11.945652173913,-10.4008042863333
1992,0.506613662307692,-0.452071248456522,9.66304347826087,-8.23203772783516
1993,1.32800267505494,-2.68478260869565,10.8804347826087,-9.130595306
1994,-1.14285714285714,-0.858695652173913,14.4673913043478,-9.86661766133333
1995,0.340659340659341,-3.70652173913043,10.1739130434783,-7.7786933962
1996,-0.978021978021978,-2.16901721129348,13.0434782608696,-9.84662983340659
1997,0.131868131868132,-1.79347826086957,12.0273173342391,-9.64486912478889
1998,1.36267579241758,-1.30434782608696,11.3913043478261,-9.72222222222222
1999,1.92331359472527,-2.25,11.4782608695652,-9.06666666666667
2000,3.3956043956044,-0.478260869565217,12.75,-8.61538461538461
2001,0.239680805384615,-1.27173913043478,12.3948775636413,-9.34027058806667
2002,1.70246883065934,-0.706521739130435,13.7354366961957,-10.0777777777778
2003,-0.846153846153846,-2.34782608695652,11.6847826086957,-9.42222222222222
2004,0.684369133,-0.173913043478261,9.66304347826087,-6.91208791208791
2005,-0.44331168089011,-1.85636553945652,11.477337606163,-8.24520758477778
2006,1.73333971546154,-0.967391304347826,11.7717391304348,-9.94444444444444
2007,-1.59340659340659,0.869565217391304,15.4673913043478,-8.88888888888889
2008,3.96703296703297,-2.47826086956522,14.195652173913,-10.9450549450549
2009,3.84615384615385,0.0869565217391304,13.4130434782609,-8.72222222222222
2010,2.18681318681319,-1.59782608695652,13.3628082640217,-10.6142358006667
