eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1996,-4.45054945054945,-5.67347826086957,8.66304347826087,-12.9686813186813,-3.57953551912568,403,482,66,39,106,113,306,351.815752372,108.327072891,425.999999999,1192.142825262,24.010782653194,288.936358964919,23.0064668175267,1.0043158356673,27.8218123714278,218.021630218323,43.092916375169,153.810126582278,87.8181818181818,97.75,157.961538461538,191.173913043478,147.4,153,NA,167,154,153,199,199,142,310,261,310,310,310,275,275,NA
1997,-3.59340659340659,-5.70652173913043,7.92880434782609,-12.7832222222222,-3.48778082191781,360.4495157905,436.9495157905,69,34,103,134,368,458,201,449.000000002,1476.000000002,12.0992168065951,274.212668207386,1.24911079353929,10.8501060130558,19.0200215018833,203.733904058877,50.4194785800796,155.5,138.75,128,160.045454545455,178.944444444444,147,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA
1998,-2.27428571428571,-4.83152173913043,7.33695652173913,-12.5833333333333,-3.03824657534247,346,472.001748555,79,55,106,119,336,308,271,267.833974562,1182.833974562,3.64400463700897,291.093615388662,0.319438683703108,3.32456595330586,27.4125424637518,193.110856359049,70.5702165658606,160.652173913043,139,150,160.68,175.235294117647,147,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA
1999,-1.57681318681319,-6,7.53804347826087,-12.2388888888889,-3.0232602739726,326.5,434.51076856,80,51,89,133,244.366704775,387.000000001,268,446.99999999,1346.366704766,7.63309703443822,294.637950571844,0,7.63309703443822,19.0670181883806,207.262001883573,68.3089304998903,157.285714285714,135.75,137,164,174.526315789474,152,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA
2000,-0.428571428571429,-4.51086956521739,8.55978260869565,-11.7582417582418,-2.01229508196721,406.5,521.5,62,29,92,128,145.999999994,281.999999997,163.999999999,430.000000001,1021.999999991,21.0335734774817,317.592551274528,21.0335734774817,0,33.4823207109832,207.355312204012,76.2965253701497,128.25974025974,61,94,139.038461538462,158.473684210526,133,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311
2001,-3.49241758241758,-4.7370652173913,8.14195652173913,-12.3614444444444,-3.06052054794521,381.9045852965,495.9045852965,58,39,85,86,216.375484426,288.999999997,224,271,1000.375484423,0.631064445618136,304.537181642409,0.631064445618136,0,35.6686716187022,209.705149083665,59.1633609400418,134.695652173913,115.3125,117,142.666666666667,154.7,134.6,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359
2002,-1.82252747252747,-4.84239130434783,9.36815217391304,-13.7277777777778,-2.69857534246575,464.830088025,577.80342806,78,30,106,118,236.482863764,178.999999998,148.677226967,307.049345366,871.209436095,16.9042820928285,309.368611742386,16.7253821963247,0.178899896503801,26.288822418227,219.548273323582,63.5315160005767,107.585365853659,84,92,113,120.578947368421,99.2,139,NA,122,139,141,159,173,104,296,273,296,291,291,291,296,309
2003,-4.25824175824176,-5.84239130434783,7.63586956521739,-12.1055555555556,-3.59452054794521,366.5,453,42,27,76,103,284,391,204,331,1210,7.15904399206537,270.067523147306,0.921748585703134,6.23729540636223,31.14184692723,203.219272645081,34.5363440211633,117.24,83.375,85.1666666666667,145.384615384615,156.2,141,158,NA,163,166,159,193,199,149,NA,268,304,303,303,301,301,NA
2004,-2.81835164835165,-3.65760869565217,5.88586956521739,-9.98351648351648,-2.62286885245902,241.5,319.8255137985,65,36,75,103,162,329,262,247.999999999,1000.999999999,6.08376822598601,293.00887656827,6.08376822598601,0,34.3335834292894,199.649677690692,59.0256154482878,145.926829268293,124.5625,125.75,151.807692307692,162.764705882353,138.4,152,NA,152,164,160,189,197,145,311,260,305,305,305,301,295,316
2005,-3.72637362637363,-5.0804347826087,7.50826086956522,-10.9972222222222,-3.0287397260274,358.842291123,429.401594105,46,48,92,94,261,383,176,259,1079,7.06450633111385,268.883487094176,7.06450633111385,0,24.535219438475,197.516636168119,46.8316314875822,146.475609756098,96.3125,94.125,165.44,178.055555555556,153.8,149,NA,150,163,161,196,204,140,312,258,307,311,311,309,308,319
2006,-1.8256043956044,-4.87076086956522,7.87880434782609,-13.3357777777778,-2.98523287671233,352.137583267,489.637583267,45,34,75,111,232,317,179,464.070027975,1192.070027975,28.3449804001266,317.675758450989,19.9076387207849,8.43734167934167,33.8508067996282,214.208485446878,69.159941404397,127.745762711864,79.4545454545455,118.75,133.857142857143,156.454545454545,128.6,158,NA,158,158,152,186,189,130,295,257,295,295,290,288,288,325
2007,-4.83208791208791,-3.20652173913043,10.570652173913,-12.35,-2.39375342465753,569,665,58,44,109,110,255,341,188,353,1137,15.1037889295703,292.207057735493,6.49851955742376,8.60526937214659,32.6026782124204,220.625134394788,38.9792451282838,156.602272727273,145.1875,146.25,157.961538461538,164.95652173913,161.4,160,NA,154,157,155,182,188,143,313,280,296,308,295,293,293,320
2008,-0.263736263736264,-6.98913043478261,9.48913043478261,-14.8406593406593,-3.12704918032787,502.5,662,78,46,65,116,148,409,195,516,1268,3.56749623676935,297.991837123871,3.56749623676935,0,19.3193384406179,210.734575274855,67.9379234083988,146.727272727273,90.375,80.25,164.153846153846,183.913043478261,150.8,166,NA,162,168,166,192,205,157,313,262,308,308,308,310,305,319
2009,-0.258241758241758,-4.1520652173913,8.94021739130435,-11.9611111111111,-1.80682191780822,442.5,590,54,51,102,136,218,401.999999993,180,508,1307.999999993,16.5839748662996,309.878667970949,15.9297761518623,0.654198714437377,32.4996859448256,205.444768790843,71.9342132352801,162.727272727273,145.1875,149.5,163.192307692308,178.608695652174,159,166,NA,153,170,154,196,203,140,307,264,303,307,295,295,294,327
2010,-1.69230769230769,-5.64130434782609,9.11097826086957,-13.7376666666667,-2.9347397260274,444.7073387135,567.7073387135,83,36,99,138,316.999999998,408,160.000000001,385.000000001,1270,29.3633855226143,283.841088982029,5.40373388946622,23.9596516331481,17.2061366779554,206.825570206586,59.8093820974876,167.511363636364,162.5,148.5,169.5,175.739130434783,166,163,NA,157,164,163,191,196,145,NA,266,NA,NA,NA,300,292,NA
