year,GSLthreeday0C
1982,62
1983,78
1984,54
1985,72
1986,84
1987,89
1988,103
1989,56
1990,110
1991,102
1992,70
1993,71
1994,99
1995,77
1996,106
1997,103
1998,106
1999,89
2000,92
2001,85
2002,106
2003,76
2004,75
2005,92
2006,75
2007,109
2008,65
2009,102
2010,99
