year,def
1982,0.204140487142062
1983,0.452147950903277
1984,8.34075896120275
1985,17.8240912674374
1986,12.1652820010589
1987,7.60781946863555
1988,44.8901013376851
1989,23.5293196616071
1990,9.12215685876127
1991,6.09489161333155
1992,2.24756672712752
1993,11.3930462567503
1994,21.906764313187
1995,3.42040990469669
1996,24.010782653194
1997,12.0992168065951
1998,3.64400463700897
1999,7.63309703443822
2000,21.0335734774817
2001,0.631064445618136
2002,16.9042820928285
2003,7.15904399206537
2004,6.08376822598601
2005,7.06450633111385
2006,28.3449804001266
2007,15.1037889295703
2008,3.56749623676935
2009,16.5839748662996
2010,29.3633855226143
