year,GDD
1982,206.5
1983,212
1984,197.5
1985,308.70305454
1986,333.5
1987,421
1988,606.5
1989,404.5
1990,482.114810366
1991,481.110820981
1992,329.5
1993,430
1994,591.5
1995,365.5
1996,482
1997,436.9495157905
1998,472.001748555
1999,434.51076856
2000,521.5
2001,495.9045852965
2002,577.80342806
2003,453
2004,319.8255137985
2005,429.401594105
2006,489.637583267
2007,665
2008,662
2009,590
2010,567.7073387135
