water_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT
1982,-1.03945054945055,-7.31402173913043,5.8545652173913,-13.0243333333333,-3.83849315068493
1983,-3.84857142857143,-8.43630434782609,6.40782608695652,-10.1098888888889,-3.96364383561644
1984,-2.85186813186813,-7.2095652173913,6.35836956521739,-13.7774725274725,-4.34857923497268
1985,-4.15318681318681,-4.56467391304348,6.70369565217391,-13.5096666666667,-3.82745205479452
1986,-4.10791208791209,-5.37586956521739,6.2820652173913,-12.2853333333333,-3.82501369863014
1987,-2.05373626373626,-2.90771739130435,8.19652173913044,-10.858,-1.85627397260274
1988,-0.331538461538462,-4.96032608695652,9.37630434782609,-12.7058241758242,-2.13150273224044
1989,-1.1556043956044,-3.12630434782609,7.38260869565217,-11.516,-2.05484931506849
1990,-0.867472527472528,-1.26336956521739,8.09228260869565,-11.6447777777778,-1.36632876712329
1991,-0.584725274725275,-4.81380434782609,7.52989130434783,-11.6342222222222,-2.3298904109589
1992,-1.57714285714286,-1.71826086956522,6.65304347826087,-8.60538461538462,-1.29128415300546
1993,-1.36659340659341,-5.0979347826087,6.0729347826087,-11.7541111111111,-2.99323287671233
1994,-4.17120879120879,-3.23076086956522,8.30369565217391,-12.6306666666667,-2.87569863013699
1995,-1.90725274725275,-4.97978260869565,7.98608695652174,-9.20111111111111,-1.98652054794521
1996,-1.38879120879121,-3.74391304347826,9.1020652173913,-10.622967032967,-1.63967213114754
1997,-1.47857142857143,-4.37673913043478,8.28347826086956,-11.5974444444444,-2.24356164383562
1998,-1.28714285714286,-4.39086956521739,7.89347826086957,-10.9936666666667,-2.14882191780822
1999,0.228131868131868,-4.70739130434783,8.0025,-10.2146666666667,-1.6312602739726
2000,1.05681318681319,-2.68728260869565,10.2253260869565,-9.59362637362637,-0.227732240437158
2001,0.0469230769230769,-1.79065217391304,10.4746739130435,-9.27244444444444,-0.0858082191780822
2002,1.46483516483516,-2.29163043478261,11.3519565217391,-9.90377777777778,0.206876712328767
2003,-0.473626373626374,-1.99652173913043,10.2259782608696,-9.05111111111111,-0.27558904109589
2004,0.716923076923077,-1.14423913043478,8.76141304347826,-9.28868131868132,-0.216530054644809
2005,-0.102637362637363,-2.76054347826087,9.70260869565217,-7.63133333333333,-0.157506849315069
2006,1.43252747252747,-1.75532608695652,10.7805434782609,-10.3327777777778,0.0841917808219178
2007,-0.973956043956044,-1.09,11.0629347826087,-9.24911111111111,-0.00969863013698627
2008,1.70923076923077,-4.50152173913043,9.93097826086957,-11.6804395604396,-1.11439890710383
2009,1.1732967032967,-2.35532608695652,9.1529347826087,-9.296,-0.28627397260274
2010,-0.0921978021978022,-3.32065217391304,10.4972826086957,-10.9923333333333,-0.924520547945206
2011,1.24274725274725,-3.46032608695652,10.7065217391304,-10.0844444444444,-0.350301369863014
2012,0.10043956043956,0.365108695652174,11.738152173913,-9.24186813186813,0.76948087431694
2013,1.54087912087912,-3.84239130434783,10.9015217391304,-10.2648888888889,-0.367616438356164
2014,0.425164835164835,-2.92054347826087,9.2745652173913,-10.3155555555556,-0.836
2015,1.18175824175824,-1.48391304347826,10.5132608695652,-7.77966666666667,0.652246575342466
2016,2.13824175824176,-2.8120652173913,10.8598913043478,-9.04956043956044,0.304562841530055
2017,2.75714285714286,-1.11554347826087,10.4821739130435,-9.03044444444444,0.821616438356164
2018,1.61131868131868,-0.989565217391304,11.2511956521739,-8.12833333333333,0.983972602739726
