eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1996,-1.38879120879121,-3.74391304347826,9.1020652173913,-10.622967032967,-1.63967213114754,448.589844362936,584.744344362936,65,38,108,114,212.16,286.65,124,416.91,1039.72,63.6751544449732,309.117879961233,37.0998810462518,26.5752733987214,33.8384062228774,215.140002339089,59.2981356090453,153.810126582278,87.8181818181818,97.75,157.961538461538,191.173913043478,147.4,153,NA,167,154,153,199,199,142,310,261,310,310,310,275,275,NA
1997,-1.47857142857143,-4.37673913043478,8.28347826086956,-11.5974444444444,-2.24356164383562,388.637186747291,521.000007354898,66,50,118,138,235.17,306.93,207,449.28,1198.38,26.0983974240435,297.358562302206,7.49745990519158,18.6009375188519,24.2931231030645,204.564812444429,67.0259939358088,155.5,138.75,128,160.045454545455,178.944444444444,147,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA
1998,-1.28714285714286,-4.39086956521739,7.89347826086957,-10.9936666666667,-2.14882191780822,381.289502300493,537.780002300493,62,55,107,122,195,200.46,310,281.58,987.04,21.7476029982014,296.879623621026,0.0913083371623961,21.656294661039,26.1999466239856,191.459874197194,79.2198027998468,160.652173913043,139,150,160.68,175.235294117647,147,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA
1999,0.228131868131868,-4.70739130434783,8.0025,-10.2146666666667,-1.6312602739726,359.5015,515.77,80,51,92,133,145.47,361.53,367,342.03,1216.03,15.681422108884,311.423516868864,1.10867993767128,14.5727421712127,21.285777420709,207.27925384529,81.9615534610339,157.285714285714,135.75,137,164,174.526315789474,152,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA
2000,1.05681318681319,-2.68728260869565,10.2253260869565,-9.59362637362637,-0.227732240437158,535.281564467301,722.647564467301,58,29,117,129,121.68,371.28,160,439.14,1092.1,39.6255653634049,345.635369984912,21.5370462697484,18.0885190936565,37.9985257454208,211.457914811052,95.4905058089016,128.25974025974,61,94,139.038461538462,158.473684210526,133,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311
2001,0.0469230769230769,-1.79065217391304,10.4746739130435,-9.27244444444444,-0.0858082191780822,548.436871200752,774.487763014378,48,37,86,110,115.44,302.64,246,302.64,966.72,17.245274708121,338.83523394018,1.7207885351385,15.5244861729825,42.4486344544691,216.608136980168,79.7784625055429,134.695652173913,115.3125,117,142.666666666667,154.7,134.6,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359
2002,1.46483516483516,-2.29163043478261,11.3519565217391,-9.90377777777778,0.206876712328767,622.703943323984,857.541819711267,37,28,106,131,166.53,168.09,161,359.19,854.81,41.2002567422925,347.692283092929,33.8112972502924,7.38895949200013,38.0593824536028,225.553631658189,84.0792689811373,107.585365853659,84,92,113,120.578947368421,99.2,139,NA,122,139,141,159,173,104,296,273,296,291,291,291,296,309
2003,-0.473626373626374,-1.99652173913043,10.2259782608696,-9.05111111111111,-0.27558904109589,548.259158688172,758.860732343317,41,24,96,141,166.14,435.63,204,252.72,1058.49,37.3934277164894,314.248725397728,21.7375081940696,15.6559195224198,45.6755492701757,208.83974014252,58.580985961712,117.24,83.375,85.1666666666667,145.384615384615,156.2,141,158,NA,163,166,159,193,199,149,NA,268,304,303,303,301,301,NA
2004,0.716923076923077,-1.14423913043478,8.76141304347826,-9.28868131868132,-0.216530054644809,430.102775304108,653.606752628729,20,34,92,115,154.05,296.79,271,235.95,957.79,22.1735277510003,341.48274991357,3.62066883384045,18.5528589171599,51.1804165384109,206.880132277421,82.5998993872865,145.926829268293,124.5625,125.75,151.807692307692,162.764705882353,138.4,152,NA,152,164,160,189,197,145,311,260,305,305,305,301,295,316
2005,-0.102637362637363,-2.76054347826087,9.70260869565217,-7.63133333333333,-0.157506849315069,505.1445,683.529606180041,45,20,94,145,182.52,274.56,215,289.38,961.46,27.281788376409,311.42248091258,21.5796906509961,5.70209772541293,35.8220344357585,204.964155917545,69.2175778253216,146.475609756098,96.3125,94.125,165.44,178.055555555556,153.8,149,NA,150,163,161,196,204,140,312,258,307,311,311,309,308,319
