year,fivedayrunning
1982,82
1983,86
1984,72
1985,46
1986,62
1987,4
1988,43
1989,9
1990,32
1991,69
1992,44
1993,73
1994,48
1995,81
1996,65
1997,66
1998,62
1999,80
2000,58
2001,48
2002,37
2003,41
2004,20
2005,45
2006,41
2007,47
2008,66
2009,53
2010,42
2011,67
2012,15
2013,58
2014,50
2015,15
2016,52
2017,16
2018,52
