year,sum_DEF,fal_DEF,spr_PET,sum_PET,fal_PET
1982,2.40347846631066,26.8865422448174,5.52110300323539,193.390792797271,70.8332333699511
1983,0,4.38222214498582,6.19547703565752,192.94698233555,48.6846579368666
1984,0.245821870457113,13.4813348222309,25.1639401507093,200.873825128984,58.8771889609244
1985,34.6434976891359,1.014462713072,31.0426803366532,209.062463586996,48.7905157427157
1986,10.6436037421567,19.4035667472473,11.6718547561095,205.534678820972,45.3514215585575
1987,10.9516536779319,17.9958135476953,45.0100169712633,207.894008398782,52.3461906369407
1988,50.5368940593732,26.1584017594713,30.9479932789653,217.587263789877,65.7851002213914
1989,27.0586501277572,43.4231286422905,42.5576260053364,195.605438005352,62.2874017464775
1990,12.2502292946677,37.8388668946123,46.5892632155724,202.240740112762,73.710608113112
1991,5.06471577747011,7.05243711730295,31.9422083246765,204.587969801442,72.1486862700209
1992,11.3967324727354,29.4782942724592,42.2025782408111,192.780596573137,79.1003602569784
1993,40.1667029123507,25.7549305210554,23.1524383190356,199.98268090289,83.7305030290347
1994,18.1321971185447,31.243013512998,43.2905237903937,207.816786365389,54.4245897963829
1995,26.3171123084119,15.1628686855624,7.24302285459426,201.0047212871,57.1548178267311
1996,37.0998810462518,26.5752733987214,33.8384062228774,215.140002339089,59.2981356090453
1997,7.49745990519158,18.6009375188519,24.2931231030645,204.564812444429,67.0259939358088
1998,0.0913083371623961,21.656294661039,26.1999466239856,191.459874197194,79.2198027998468
1999,1.10867993767128,14.5727421712127,21.285777420709,207.27925384529,81.9615534610339
2000,21.5370462697484,18.0885190936565,37.9985257454208,211.457914811052,95.4905058089016
2001,1.7207885351385,15.5244861729825,42.4486344544691,216.608136980168,79.7784625055429
2002,33.8112972502924,7.38895949200013,38.0593824536028,225.553631658189,84.0792689811373
2003,21.7375081940696,15.6559195224198,45.6755492701757,208.83974014252,58.580985961712
2004,3.62066883384045,18.5528589171599,51.1804165384109,206.880132277421,82.5998993872865
2005,21.5796906509961,5.70209772541293,35.8220344357585,204.964155917545,69.2175778253216
2006,27.6443578152785,35.5694230054656,44.3522793595454,224.949561389445,91.1326956789791
2007,22.6976873849221,22.4916217204656,42.4575213829192,220.968838546341,57.3336194931055
2008,10.4159308017468,3.76109750021212,24.2355616888095,212.049669542607,84.3319749264056
2009,20.4963273112971,5.68226964901656,40.4237617374048,207.255540662015,85.5468900224697
2010,23.5077559310821,29.7983886804956,23.7548035949277,214.464006077927,66.8487631336081
2011,5.16473819808128,50.736127471244,18.2087747851221,220.878076422921,95.9766880304415
2012,19.0589792365142,19.3485039687696,57.7066865224551,226.730496117973,72.3179635698468
2013,5.63994801644026,19.1823733351309,27.3935568737861,221.572858821021,77.4626668174745
2014,11.6974607610249,2.38096522049068,39.0666021736705,205.157437573694,69.897623250997
2015,26.6440372815799,10.7161388867096,27.6794858937956,213.84152815041,92.357875360872
2016,33.6964252753762,65.2358194476409,26.3855942598227,219.142603999419,101.824424853258
2017,26.0741689103871,32.5984913144808,44.7659604204775,218.965359264453,99.006860550433
2018,44.3241099438877,12.6956678248777,48.5175786942654,217.220451184899,74.1380984674212
