year,GSLthreedayneg3C
1982,96
1983,98
1984,111
1985,88
1986,107
1987,113
1988,113
1989,80
1990,137
1991,105
1992,54
1993,72
1994,129
1995,104
1996,114
1997,138
1998,122
1999,133
2000,129
2001,110
2002,131
2003,141
2004,115
2005,145
2006,111
2007,122
2008,122
2009,135
2010,153
2011,140
2012,146
2013,133
2014,139
2015,156
2016,130
2017,126
2018,157
