year,GSLthreeday0C
1991,108
1992,70
1993,65
1994,70
1995,77
1996,109
1997,103
1998,110
1999,95
2000,127
2001,86
2002,107
2003,103
2004,103
2005,94
2006,110
2007,110
2008,92
2009,119
2010,118
2011,118
2012,122
2013,126
