year,sum_DEF,fal_DEF,spr_PET,sum_PET,fal_PET
1991,5.02713031215365,0,22.3828388669782,212.035110877685,73.1547780659528
1992,10.7412042972944,11.0231657517432,54.8834926965652,192.351096979064,76.2220082641892
1993,39.3531970500844,15.3115601329357,20.8317524882501,199.726837149314,79.5494963871762
1994,18.328535768849,15.05436265008,41.1432432154302,207.971978230498,53.229703133416
1995,27.0911202289215,8.23056841031885,5.25389868433762,199.441861330769,58.5736960388941
1996,36.384935177944,19.2751203113352,32.5193850454153,215.157470067387,58.4139231834096
1997,5.1916182684224,15.0514489836119,21.6110163226335,205.44150297787,68.7127819473169
1998,0.118803919273939,5.49191316473705,25.1067563410273,191.655645649105,77.4054633605712
1999,0.400373842092923,7.42430221326686,19.7370398986332,206.748805287821,81.6312350782908
2000,20.8533562044972,1.69523947244095,37.4257154907644,210.355080476108,95.2448226756662
2001,1.43009763791096,1.67102588642861,41.8179582689492,215.915214282185,78.1367167931217
2002,32.9458614152078,1.06335512413556,36.55625586689,225.371125232013,83.4435132209104
2003,20.6259055695228,7.70132831709224,40.3885719705721,207.705477305015,56.996280658557
2004,3.64820261928334,8.60163368945826,50.1751887195488,204.521522010848,83.8654529702528
2005,19.7708208810443,1.22607023117141,34.7236778066768,204.45050106165,68.894651861551
2006,26.8999833089829,19.5170378759936,42.6328960465082,224.218845807977,87.7022937369051
2007,22.3670148914523,9.31616985177798,39.3606271527719,220.048368515999,56.6750773110704
2008,8.32176378881631,0,23.4885574028597,211.200848593958,83.9553112132681
2009,21.0867185832004,1.21114558742126,38.9957381351733,206.439988328079,84.3620748102559
2010,19.8064869500318,22.3139636841191,22.6115520033436,213.282337687882,65.9668655734205
2011,4.98479700152194,45.1526809799488,15.8362502360058,220.059143043145,95.1404589895774
2012,23.1668232821189,3.17463918557994,54.6568501273463,226.043199271012,71.2318775898977
2013,9.16308257596335,4.41842443515382,25.6818475739401,220.397711591315,76.3091443342035
