year,fivedayrunning
1991,49
1992,50
1993,58
1994,36
1995,68
1996,39
1997,50
1998,56
1999,52
2000,29
2001,38
2002,29
2003,26
2004,35
2005,20
2006,26
2007,44
2008,46
2009,52
2010,36
2011,54
2012,32
2013,39
