year,def
1991,5.02713031215365
1992,21.7643700490376
1993,54.6647571830201
1994,33.382898418929
1995,35.3216886392403
1996,55.6600554892793
1997,20.2430672520343
1998,5.61071708401099
1999,7.82467605535978
2000,22.5485956769381
2001,3.10112352433958
2002,34.0092165393434
2003,28.327233886615
2004,12.2498363087416
2005,20.9968911122157
2006,46.4170211849765
2007,31.6831847432303
2008,8.32176378881631
2009,22.2978641706216
2010,42.1204506341508
2011,50.1374779814708
2012,26.3414624676988
2013,13.5815070111172
