year,GDD
1991,550.035
1992,480.02
1993,334.15
1994,509.255
1995,467.57
1996,579.705
1997,516.13
1998,516.005
1999,464.81
2000,703.785
2001,702.78
2002,760.23
2003,708.575
2004,527.335
2005,687.42
2006,675.865
2007,777.695
2008,658.1
2009,567.99
2010,740.635
2011,682.455
2012,846.42
2013,709.77
