year,GDD
1991,540.175
1992,467.245
1993,401.905
1994,483.35
1995,463.39
1996,560.58
1997,510.66
1998,501.405
1999,482.09
2000,674.01
2001,703.37
2002,797.505
2003,666.01
2004,571.465
2005,629.225
2006,754.4
2007,708.21
2008,679.14
2009,589.705
2010,655.905
2011,756.89
2012,828.18
2013,715.16
