year,season,GDDsum
1991,sum,420.445
1992,sum,305.955
1993,sum,266.815
1994,sum,374.975
1995,sum,377
1996,sum,442.63
1997,sum,386.75
1998,sum,365.19
1999,sum,342.215
2000,sum,507.63
2001,sum,521.41
2002,sum,603.13
2003,sum,506.165
2004,sum,383.965
2005,sum,483.45
2006,sum,535.095
2007,sum,578.155
2008,sum,500.185
2009,sum,425.5
2010,sum,521.28
2011,sum,544.735
2012,sum,619.725
2013,sum,545.865
