year,fivedayrunning
1991,69
1992,42
1993,76
1994,48
1995,94
1996,65
1997,67
1998,78
1999,80
2000,58
2001,57
2002,45
2003,41
2004,20
2005,46
2006,41
2007,58
2008,78
2009,54
2010,80
2011,67
2012,23
2013,58
