water_year,fal_maxT,spr_maxT,sum_maxT,wnt_maxT
1991,3.02164835164835,-1.86576086956522,13.4946739130435,-8.66366666666667
1992,2.81153846153846,2.47576086956522,11.376847826087,-6.02989010989011
1993,3.0132967032967,-1.48619565217391,10.2316304347826,-8.246
1994,-0.563626373626374,0.616847826086957,12.8594565217391,-9.61822222222222
1995,2.13846153846154,-1.56989130434783,11.8120652173913,-6.12688888888889
1996,2.13857142857143,-0.376630434782609,13.8625,-7.4821978021978
1997,2.53076923076923,-0.575217391304348,12.5648913043478,-8.45122222222222
1998,2.11241758241758,-1.10521739130435,11.7689130434783,-8.44988888888889
1999,3.59318681318681,-1.0420652173913,11.6070652173913,-7.29122222222222
2000,5.07032967032967,1.16184782608696,14.3158695652174,-7.00835164835165
2001,3.27010989010989,0.967717391304348,14.329347826087,-6.78788888888889
2002,4.95241758241758,1.26021739130435,16.0460869565217,-7.17955555555556
2003,2.91307692307692,0.848695652173913,14.029347826087,-6.44577777777778
2004,4.44604395604396,2.1495652173913,12.4294565217391,-6.26351648351648
2005,3.31714285714286,0.699239130434783,13.9448913043478,-4.962
2006,4.91043956043956,1.87815217391304,14.7755434782609,-7.15933333333333
2007,2.0478021978022,2.19489130434783,15.111847826087,-6.436
2008,5.44087912087912,-0.852065217391304,14.0996739130435,-8.58065934065934
2009,4.8778021978022,1.0620652173913,13.1216304347826,-6.49711111111111
2010,3.34340659340659,0.315434782608696,14.371847826087,-7.99755555555556
2011,5.06549450549451,0.0583695652173913,14.6458695652174,-7.19677777777778
2012,3.66252747252747,4.53141304347826,16.0367391304348,-5.60681318681319
2013,4.93054945054945,-0.272173913043478,14.9248913043478,-7.28622222222222
