sumallPC1,sumallPC2,site
-1.37440507991934,0.25662034073735,1982
-1.31151092888714,-0.0896839142627443,1983
-1.21295110840463,-0.569830662544052,1984
-0.058505306409976,1.29120385346543,1985
-0.789006088551603,0.494718464494946,1986
0.620644277352418,0.28598638048217,1987
1.03104703498188,0.753009297991775,1988
-0.141645412624523,0.901052411927779,1989
-0.0770907984727281,-0.428488026594465,1990
-0.463180815845949,-0.271516579621169,1991
-0.312695037829811,0.650556321912847,1992
-0.379103786659527,1.73681195750861,1993
0.847106029579052,0.578980128094613,1994
-0.76073148097509,-0.380105130116071,1995
0.642196890244655,0.779843681051791,1996
-0.295814986360469,0.183096234098238,1997
-0.800943207383913,-0.35823827712383,1998
-0.626565030366716,-1.00131173695824,1999
0.636664393164334,-0.0592194606470321,2000
-0.206803532783983,-1.34472514152418,2001
1.2325003985382,-0.65411294146127,2002
0.431442113752416,0.135262371710132,2003
-0.764286324086575,-0.0752633664097154,2004
-0.103314418331666,0.25962355557441,2005
0.532568352509731,-0.323622038707527,2006
0.247361922767852,-0.998537247240487,2007
-0.251174236387914,-0.616325978237094,2008
-0.553536511355956,0.715479296364794,2009
-0.0456524797893901,0.110326286006088,2010
-0.123997066104623,-1.01184683730283,2011
1.13227073563419,-1.35158211727025,2012
0.589747674824998,-0.696383375200163,2013
-0.171835874841035,0.313875326592005,2014
0.638321506621848,0.52423682705599,2015
0.604912266327246,-0.177666600581745,2016
0.44545943598386,-0.0116281316339491,2017
1.19250648008988,0.449404828367825,2018
