year,sum_DEF,fal_DEF,spr_PET,sum_PET,fal_PET
1991,6.3558258536611,10.357233397789,31.3467597639819,204.428260427622,76.8120786994565
1992,12.2294540094609,28.162473749055,38.3446584173816,196.66365422818,77.1039559952016
1993,52.5711842955119,29.719886891576,30.2341371053478,203.994300048764,85.2955230735
1994,25.4713290818455,32.433105225718,44.7066174736436,211.708357743862,55.444981546507
1995,26.5126781646961,16.1297537339519,5.36422670058597,199.836386202346,56.4055397651118
1996,36.1104062340462,26.7276886011956,33.0705653514927,214.241064634031,59.0590729963329
1997,4.6646186461035,18.4433960472622,18.9119889472202,202.680643774882,66.5359809697129
1998,0.0655513192299128,21.9444884648958,25.3227026932602,189.778173382579,79.6507033634717
1999,1.02373184475037,13.3005528436533,21.9040201566689,206.722749650284,76.9979770841655
2000,19.0950141556514,15.8247842008117,40.4952141132588,207.639524075382,91.6271512319007
2001,0.912081902544102,9.4589770950408,35.5162074489195,209.458476449864,68.9390950809201
2002,21.0760233783342,5.30147747742253,30.0489830765134,221.653740700636,73.1408674558552
2003,15.5921647033525,11.4758381475844,37.0484857669493,207.799042970331,49.1834076884793
2004,3.42502559497268,9.55309598820981,36.2372167495687,196.684125430056,70.1263592691263
2005,14.6188716591937,5.53245078116676,28.6290830558594,197.338161015102,61.9153086889384
2006,23.5116740120724,27.9737087185856,35.5115199887252,218.011707150687,79.9300398746759
2007,9.15288951562638,18.8786952512104,30.3322680162262,213.778238985491,49.1653214246634
2008,0.922169437487983,1.90240909325901,18.3545158661371,202.809082817128,72.1253415624728
2009,14.5905277228212,2.10814786803596,27.7182118041615,201.10779762041,75.1829574363662
2010,2.87012570365731,24.4273328930974,13.910585066668,202.391542330515,55.1054259160311
2011,4.46642390893019,32.5291984171119,9.184823861065,212.311176531767,79.4692371027793
2012,15.4581866436139,14.9680692210963,41.5782864913246,222.66590097887,63.7146704916463
2013,0.988458103995005,16.3318773678917,22.6481305052758,214.99132940212,70.4437837876745
