year,GDD
1991,488
1992,455
1993,443.5
1994,550.5
1995,452
1996,525
1997,446.5
1998,467
1999,460.5
2000,610
2001,550.5
2002,676
2003,561
2004,396
2005,482.5
2006,583.5
2007,563
2008,531.5
2009,426.5
2010,442.65
2011,579.9
2012,710.9
2013,608.35
