year,GDD
1991,470
1992,479.5
1993,385
1994,569
1995,453
1996,533
1997,465
1998,466
1999,461.5
2000,610
2001,545
2002,647.5
2003,585.5
2004,369.5
2005,529.5
2006,520
2007,616.5
2008,517.5
2009,396
2010,505.8
2011,543.65
2012,735.55
2013,592.5
